"";"popcode";"region"
"1";"Zl1";"BRU"
"2";"Zl2";"BRU"
"3";"Zl6";"FLA"
"4";"Zl8";"BRU"
"5";"Zl9";"BRU"
"6";"La2";"BRU"
"7";"La7";"WAL"
"8";"La15";"WAL"
"9";"La20";"WAL"
"10";"La26";"WAL"
"11";"Pco1";"BRU"
"12";"Pco2";"BRU"
"13";"Lp1";"WAL"
"14";"Lp4";"WAL"
"15";"Ch1";"WAL"
"16";"Ch2";"WAL"
"17";"Ch5";"WAL"
"18";"Ch6";"WAL"
"19";"Ch7";"WAL"
"20";"Ed4";"WAL"
"21";"Kp1";"BRU"
