"popcode";"region";"site"
"Zl1";"BRU";"Vogelzang/Erasmus"
"Zl2";"BRU";"Silex"
"Zl6";"FLA";"Zoet water"
"Zl8";"BRU";"ISB (International School of Brussels)"
"Zl9";"BRU";"Struybeek"
"La2";"BRU";"Parc Botanique"
"La7";"WAL";"Marcel Rayez - Rue Fosty Genappe"
"La15";"WAL";"Chemin des Crolis"
"La20";"WAL";"Rue de la Lasne 98-100"
"La26";"WAL";"Rue du château"
"Pco1";"BRU";"Parc Botanique"
"Pco2";"BRU";"Jardins du Fleuriste"
"Lp1";"WAL";"Ottignies-LLN - Rue de Pinchart"
"Lp4";"WAL";"Rue de Wanroux"
"Ch1";"WAL";"Parc de Wisterzée"
"Ch2";"WAL";"Archennes"
"Ch5";"WAL";"Erpetolia"
"Ch6";"WAL";"Bruyère Mathias"
"Ch7";"WAL";"TommorowLab"
"Ed4";"WAL";"TommorowLab"
"Kp1";"BRU";"Simonaustraat"
