species;Dijle Baseline (2000 - 2015);Dijle Target (2026);Mark Baseline (2000 - 2015);Mark Target (2026);Zenne Baseline (2000 - 2015);Zenne Target (2026)
Hydrocotyle ranunculoides;11;<= 5;0;<=1;8;<=6
Ludwigia grandiflora;10;<=5;1;<=1;4;<=6
Myriophyllum aquaticum;7;<=5;1;<=1;10;<=6
Impatiens glandulifera;23;<=17;3;<=2;27;<=21
Heracleum mantegazzianum;22;<=17;3;<=2;22;<=21
