acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
4312658,Austropotamobius pallipes,15,Cfb,15204,16734,0.9085693797059878
9062851,Creaserinus fodiens,14,Cfa,200,287,0.6968641114982579
5178536,Paranephrops planifrons,15,Cfb,309,310,0.9967741935483871
8848320,Faxonius neglectus,14,Cfa,115,199,0.5778894472361809
2227232,Procambarus acutissimus,14,Cfa,95,95,1
4648498,Euastacus spinifer,15,Cfb,118,221,0.5339366515837104
2227208,Procambarus simulans,14,Cfa,130,152,0.8552631578947368
10047756,Lacunicambarus ludovicianus,14,Cfa,131,131,1
2227381,Cambarus bartonii,14,Cfa,641,1268,0.5055205047318612
2227338,Cambarus striatus,14,Cfa,562,563,0.9982238010657194
8766234,Faxonius palmeri,14,Cfa,140,142,0.9859154929577465
2227166,Procambarus troglodytes,14,Cfa,344,344,1
2227224,Procambarus versutus,14,Cfa,206,206,1
2227408,Cambarus asperimanus,14,Cfa,130,196,0.6632653061224489
2227405,Cambarus latimanus,14,Cfa,1192,1193,0.9991617770326907
2227364,Cambarus reduncus,14,Cfa,214,214,1
2227318,Cambarus acuminatus,14,Cfa,261,266,0.981203007518797
2227391,Cambarus longirostris,14,Cfa,78,110,0.7090909090909091
2227230,Procambarus spiculifer,14,Cfa,331,332,0.9969879518072289
10391449,Lacunicambarus diogenes,14,Cfa,399,460,0.8673913043478261
2227280,Procambarus blandingii,14,Cfa,204,208,0.9807692307692307
2227321,Cambarus howardi,14,Cfa,93,98,0.9489795918367347
2227374,Cambarus longulus,14,Cfa,155,167,0.9281437125748503
2227378,Cambarus halli,14,Cfa,89,90,0.9888888888888889
2227387,Cambarus tenebrosus,14,Cfa,182,218,0.8348623853211009
2227375,Cambarus robustus,14,Cfa,123,422,0.2914691943127962
4648498,Euastacus spinifer,14,Cfa,103,221,0.4660633484162896
4417558,Cherax destructor,15,Cfb,737,1867,0.3947509373326192
4648501,Euastacus sulcatus,14,Cfa,108,144,0.75
4648476,Euastacus australasiensis,14,Cfa,45,91,0.4945054945054945
4648469,Euastacus woiwuru,15,Cfb,395,397,0.9949622166246851
4648497,Euastacus armatus,15,Cfb,268,593,0.45193929173693087
4648471,Euastacus kershawi,15,Cfb,254,256,0.9921875
4648448,Euastacus yarraensis,15,Cfb,195,209,0.9330143540669856
5789955,Astacopsis gouldi,15,Cfb,923,931,0.99140708915145
4648476,Euastacus australasiensis,15,Cfb,44,91,0.4835164835164835
4648470,Euastacus yanga,15,Cfb,96,99,0.9696969696969697
4648505,Spinastacoides inermis,15,Cfb,205,220,0.9318181818181818
4648501,Euastacus sulcatus,15,Cfb,34,144,0.2361111111111111
2227340,Cambarus dubius,14,Cfa,70,105,0.6666666666666666
2227408,Cambarus asperimanus,15,Cfb,47,196,0.23979591836734693
5789956,Astacopsis franklinii,15,Cfb,150,167,0.8982035928143712
4648607,Cherax depressus,14,Cfa,66,127,0.5196850393700787
4648518,Ombrastacoides pulcher,15,Cfb,247,295,0.8372881355932204
9118774,Faxonius carolinensis,14,Cfa,126,126,1
2227327,Cambarus hobbsorum,14,Cfa,389,389,1
5789991,Cambarus johni,14,Cfa,107,107,1
