acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
4312658,Austropotamobius pallipes,15,Cfb,15204,16734,0.9085693797059878
4417555,Austropotamobius torrentium,26,Dfb,464,483,0.9606625258799172
8971201,Faxonius virilis,26,Dfb,590,2814,0.20966595593461265
5178536,Paranephrops planifrons,15,Cfb,309,310,0.9967741935483871
8879892,Faxonius propinquus,26,Dfb,361,530,0.6811320754716981
4648498,Euastacus spinifer,15,Cfb,118,221,0.5339366515837104
2227375,Cambarus robustus,26,Dfb,223,422,0.5284360189573459
2227381,Cambarus bartonii,26,Dfb,348,1268,0.2744479495268139
4417558,Cherax destructor,15,Cfb,737,1867,0.3947509373326192
4648469,Euastacus woiwuru,15,Cfb,395,397,0.9949622166246851
4648497,Euastacus armatus,15,Cfb,268,593,0.45193929173693087
4648471,Euastacus kershawi,15,Cfb,254,256,0.9921875
4648448,Euastacus yarraensis,15,Cfb,195,209,0.9330143540669856
8979506,Faxonius rusticus,26,Dfb,2022,3476,0.5817031070195627
5789955,Astacopsis gouldi,15,Cfb,923,931,0.99140708915145
4648476,Euastacus australasiensis,15,Cfb,44,91,0.4835164835164835
4648470,Euastacus yanga,15,Cfb,96,99,0.9696969696969697
8930656,Faxonius immunis,26,Dfb,112,219,0.5114155251141552
4648505,Spinastacoides inermis,15,Cfb,205,220,0.9318181818181818
4648501,Euastacus sulcatus,15,Cfb,34,144,0.2361111111111111
2227340,Cambarus dubius,26,Dfb,31,105,0.29523809523809524
2227408,Cambarus asperimanus,15,Cfb,47,196,0.23979591836734693
5789956,Astacopsis franklinii,15,Cfb,150,167,0.8982035928143712
2227391,Cambarus longirostris,26,Dfb,22,110,0.2
4648518,Ombrastacoides pulcher,15,Cfb,247,295,0.8372881355932204
