taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
2865181,Alisma subcordatum,Cfa,Humid subtropical climate,218,673,0.32392273402674593,2071-2100_Beck
5329260,Egeria densa,Cfa,Humid subtropical climate,686,3053,0.22469701932525385,2071-2100_Beck
3171926,Gratiola viscidula,Cfa,Humid subtropical climate,20,21,0.9523809523809523,2071-2100_Beck
3064056,Euphorbia palustris,Cfb,Temperate oceanic climate,4414,7263,0.6077378493735371,2071-2100_Beck
8243603,Cyperus longus,Cfb,Temperate oceanic climate,2898,6442,0.4498602918348339,2071-2100_Beck
2926921,Clinopodium brownei,Cfa,Humid subtropical climate,362,668,0.5419161676646707,2071-2100_Beck
3112110,Cotula coronopifolia,Cfa,Humid subtropical climate,327,11185,0.029235583370585606,2071-2100_Beck
3582614,Cyperus haspan,Cfa,Humid subtropical climate,1287,4238,0.30368098159509205,2071-2100_Beck
2651586,Ceratopteris thalictroides,Cfa,Humid subtropical climate,742,1564,0.4744245524296675,2071-2100_Beck
5330776,Colocasia esculenta,Cfa,Humid subtropical climate,1987,5292,0.3754724111866969,2071-2100_Beck
2703041,Arundo donax,Cfa,Humid subtropical climate,2635,27114,0.097182267463303093,2071-2100_Beck
3171169,Bacopa monnieri,Cfa,Humid subtropical climate,1258,3071,0.40963855421686746,2071-2100_Beck
2726538,Carex muskingumensis,Cfa,Humid subtropical climate,34,273,0.12454212454212454,2071-2100_Beck
3112110,Cotula coronopifolia,Cfb,Temperate oceanic climate,6560,11185,0.5864997764863656,2071-2100_Beck
5328834,Echinodorus grandiflorus,Cfa,Humid subtropical climate,106,336,0.31547619047619047,2071-2100_Beck
2703041,Arundo donax,Cfb,Temperate oceanic climate,1616,27114,0.05960020653536918,2071-2100_Beck
5362054,Crassula helmsii,Cfb,Temperate oceanic climate,8978,9506,0.9444561329686514,2071-2100_Beck
2717945,Eleocharis pusilla,Cfa,Humid subtropical climate,223,2284,0.09763572679509633,2071-2100_Beck
3730140,Glossostigma elatinoides,Cfb,Temperate oceanic climate,302,406,0.7438423645320197,2071-2100_Beck
5328593,Aponogeton distachyos,Cfb,Temperate oceanic climate,525,710,0.7394366197183099,2071-2100_Beck
2716311,Cyperus papyrus,Cfa,Humid subtropical climate,220,1264,0.17405063291139242,2071-2100_Beck
2715505,Cyperus prolifer,Cfa,Humid subtropical climate,138,268,0.5149253731343284,2071-2100_Beck
8243603,Cyperus longus,Cfa,Humid subtropical climate,382,6442,0.059298354548276935,2071-2100_Beck
2808791,Bletilla striata,Cfa,Humid subtropical climate,214,313,0.6837060702875399,2071-2100_Beck
2873807,Acorus gramineus,Cfa,Humid subtropical climate,289,495,0.5838383838383838,2071-2100_Beck
2691022,Eriocaulon cinereum,Cfa,Humid subtropical climate,120,625,0.192,2071-2100_Beck
3046246,Cardamine lyrata,Cfa,Humid subtropical climate,68,142,0.4788732394366197,2071-2100_Beck
2926921,Clinopodium brownei,Cfb,Temperate oceanic climate,73,668,0.1092814371257485,2071-2100_Beck
2717945,Eleocharis pusilla,Cfb,Temperate oceanic climate,583,2284,0.2552539404553415,2071-2100_Beck
2988113,Filipendula rubra,Cfa,Humid subtropical climate,21,392,0.05357142857142857,2071-2100_Beck
8034409,Canna indica,Cfa,Humid subtropical climate,3231,12261,0.2635184732077318,2071-2100_Beck
5328774,Echinodorus cordifolius,Cfa,Humid subtropical climate,220,261,0.842911877394636,2071-2100_Beck
2865181,Alisma subcordatum,Cfb,Temperate oceanic climate,17,673,0.02526002971768202,2071-2100_Beck
8269085,Fontinalis antipyretica,Cfb,Temperate oceanic climate,345,1014,0.34023668639053256,2071-2100_Beck
5272847,Aegagropila linnaei,Cfb,Temperate oceanic climate,230,593,0.38785834738617203,2071-2100_Beck
3171169,Bacopa monnieri,Cfb,Temperate oceanic climate,38,3071,0.012373819602735266,2071-2100_Beck
3582614,Cyperus haspan,Cfb,Temperate oceanic climate,72,4238,0.016989145823501653,2071-2100_Beck
5362054,Crassula helmsii,Cfa,Humid subtropical climate,61,9506,0.006416999789606565,2071-2100_Beck
2865980,Blyxa japonica,Cfa,Humid subtropical climate,28,56,0.5,2071-2100_Beck
8269085,Fontinalis antipyretica,Cfa,Humid subtropical climate,3,1014,0.0029585798816568047,2071-2100_Beck
5330776,Colocasia esculenta,Cfb,Temperate oceanic climate,641,5292,0.12112622826908541,2071-2100_Beck
2714156,Cyperus alternifolius,Cfa,Humid subtropical climate,51,398,0.12814070351758794,2071-2100_Beck
8034409,Canna indica,Cfb,Temperate oceanic climate,1135,12261,0.09256993719924965,2071-2100_Beck
5329260,Egeria densa,Cfb,Temperate oceanic climate,1145,3053,0.37504094333442517,2071-2100_Beck
3171189,Bacopa caroliniana,Cfa,Humid subtropical climate,181,249,0.7269076305220884,2071-2100_Beck
5328593,Aponogeton distachyos,Cfa,Humid subtropical climate,8,710,0.011267605633802818,2071-2100_Beck
2774395,Chlorophytum laxum,Cfa,Humid subtropical climate,3,359,0.008356545961002786,2071-2100_Beck
2716311,Cyperus papyrus,Cfb,Temperate oceanic climate,98,1264,0.07753164556962025,2071-2100_Beck
5328626,Aponogeton madagascariensis,Cfb,Temperate oceanic climate,2,34,0.058823529411764705,2071-2100_Beck
5328626,Aponogeton madagascariensis,Cfa,Humid subtropical climate,4,34,0.11764705882352941,2071-2100_Beck
3188666,Didiplis diandra,Cfa,Humid subtropical climate,31,43,0.7209302325581395,2071-2100_Beck
5371684,Caltha leptosepala,Cfb,Temperate oceanic climate,28,1446,0.019363762102351315,2071-2100_Beck
3723590,Gunnera magellanica,Cfb,Temperate oceanic climate,128,320,0.4,2071-2100_Beck
7431653,Dracaena sanderiana,Cfb,Temperate oceanic climate,3,33,0.09090909090909091,2071-2100_Beck
2988113,Filipendula rubra,Cfb,Temperate oceanic climate,7,392,0.017857142857142856,2071-2100_Beck
7730307,Erythranthe lutea,Cfb,Temperate oceanic climate,9,147,0.061224489795918366,2071-2100_Beck
3032611,Darmera peltata,Cfb,Temperate oceanic climate,339,785,0.4318471337579618,2071-2100_Beck
3086504,Anemopsis californica,Cfa,Humid subtropical climate,8,2808,0.002849002849002849,2071-2100_Beck
5328834,Echinodorus grandiflorus,Cfb,Temperate oceanic climate,17,336,0.050595238095238096,2071-2100_Beck
3674859,Alternanthera reineckii,Cfa,Humid subtropical climate,15,20,0.75,2071-2100_Beck
