taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
5330776,Colocasia esculenta,Dfb,Warm-summer humid continental climate,4,5292,7.558578987150416e-4
3730835,Bacopa australis,Am,Tropical monsoon climate,5,53,0.09433962264150944
3674859,Alternanthera reineckii,Aw,"Tropical savanna, wet",1,20,0.05
2865980,Blyxa japonica,Af,Tropical rainforest climate,3,56,0.05357142857142857
2869125,Cryptocoryne walkeri,Af,Tropical rainforest climate,1,1,1
8243603,Cyperus longus,ET,Tundra,1,6442,1.552312946289972e-4
2691022,Eriocaulon cinereum,As,Tropical dry savanna climate,1,625,0.0016
3730140,Glossostigma elatinoides,BSh,Hot semi-arid (steppe) climate,1,406,0.0024630541871921183
7730307,Erythranthe lutea,Csc,Cool-summer Mediterranean climate,1,147,0.006802721088435374
2808802,Bletilla striata,Dfb,Warm-summer humid continental climate,2,313,0.006389776357827476
2714156,Cyperus alternifolius,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,3,398,0.007537688442211055
3723590,Gunnera magellanica,Af,Tropical rainforest climate,4,320,0.0125
2715828,Cyperus haspan,BWh,Hot deserts climate,5,4238,0.0011798017932987258
8034409,Canna indica,BWh,Hot deserts climate,137,12261,0.011173639996737624
5371684,Caltha leptosepala,Dfa,Hot-summer humid continental climate,1,1446,6.915629322268327e-4
5328588,Aponogeton longiplumulosus,Af,Tropical rainforest climate,2,7,0.2857142857142857
2774395,Chlorophytum laxum,As,Tropical dry savanna climate,1,359,0.002785515320334262
10778277,Cladophora aegagropila,Csb,Warm-summer Mediterranean climate,1,9,0.1111111111111111
3986548,Cabomba aquatica,EF,Ice cap climate,1,172,0.005813953488372093
2873807,Acorus gramineus,Csb,Warm-summer Mediterranean climate,1,495,0.00202020202020202
2715828,Cyperus haspan,Dwc,Monsoon-influenced subarctic climate,1,4238,2.3596035865974517e-4
7878507,Erythranthe cuprea,Csb,Warm-summer Mediterranean climate,9,29,0.3103448275862069
