taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
3064056,Euphorbia palustris,BSk,Cold semi-arid (steppe) climate,12,7263,0.0016522098306484924
2865980,Blyxa japonica,Aw,"Tropical savanna, wet",9,56,0.16071428571428573
2703041,Arundo donax,Cwa,Monsoon-influenced humid subtropical climate,124,27114,0.004573283174743674
2808791,Bletilla striata,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,22,313,0.07028753993610223
2651586,Ceratopteris thalictroides,NA,NA,52,1564,0.03324808184143223
2873807,Acorus gramineus,NA,NA,6,495,0.012121212121212121
2774395,Chlorophytum laxum,Cfa,Humid subtropical climate,3,359,0.008356545961002786
2687948,Equisetum scirpoides,EF,Ice cap climate,2,5848,3.419972640218878e-4
2651586,Ceratopteris thalictroides,Cwa,Monsoon-influenced humid subtropical climate,55,1564,0.03516624040920716
2716311,Cyperus papyrus,Cfb,Temperate oceanic climate,98,1264,0.07753164556962025
5328626,Aponogeton madagascariensis,Cfb,Temperate oceanic climate,2,34,0.058823529411764705
5328626,Aponogeton madagascariensis,Cfa,Humid subtropical climate,4,34,0.11764705882352941
2703041,Arundo donax,As,Tropical dry savanna climate,12,27114,4.425757911042266e-4
3188666,Didiplis diandra,Cfa,Humid subtropical climate,31,43,0.7209302325581395
2856891,Allium karataviense,Dsa,"Hot, dry-summer continental climate",7,53,0.1320754716981132
3064056,Euphorbia palustris,Dfa,Hot-summer humid continental climate,51,7263,0.007021891780256092
8243603,Cyperus longus,Dfa,Hot-summer humid continental climate,2,6442,3.104625892579944e-4
5341433,Clinopodium brownei,BSh,Hot semi-arid (steppe) climate,8,668,0.011976047904191617
5371684,Caltha leptosepala,Cfb,Temperate oceanic climate,28,1446,0.019363762102351315
5329253,Egeria najas,NA,NA,5,75,0.06666666666666667
2856891,Allium karataviense,BSk,Cold semi-arid (steppe) climate,4,53,0.07547169811320754
2691022,Eriocaulon cinereum,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,19,625,0.0304
5330776,Colocasia esculenta,Cwa,Monsoon-influenced humid subtropical climate,314,5292,0.059334845049130766
5329260,Egeria densa,Csb,Warm-summer Mediterranean climate,366,3053,0.11988208319685555
5371684,Caltha leptosepala,Csa,Hot-summer Mediterranean climate,3,1446,0.002074688796680498
6070720,Erythranthe cardinalis,Dsb,"Warm, dry-summer continental climate",44,2370,0.018565400843881856
3723590,Gunnera magellanica,Cfb,Temperate oceanic climate,128,320,0.4
5329260,Egeria densa,NA,NA,37,3053,0.012119226989846053
7431653,Dracaena sanderiana,Cfb,Temperate oceanic climate,3,33,0.09090909090909091
3046246,Cardamine lyrata,Dfa,Hot-summer humid continental climate,10,142,0.07042253521126761
