taxonKey,species,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
7194590,Cambarus bartonii,26,Dfb,57,97,0.5876288659793815
5178536,Paranephrops planifrons,15,Cfb,262,263,0.9961977186311787
2227375,Cambarus robustus,26,Dfb,190,355,0.5352112676056338
4312658,Austropotamobius pallipes,15,Cfb,7699,8222,0.9363901727073705
4648501,Euastacus sulcatus,15,Cfb,29,118,0.2457627118644068
4417558,Cherax destructor,15,Cfb,611,1410,0.43333333333333335
4417555,Austropotamobius torrentium,26,Dfb,395,410,0.9634146341463414
4648498,Euastacus spinifer,15,Cfb,100,190,0.5263157894736842
2227064,Faxonius virilis,26,Dfb,242,615,0.3934959349593496
2227030,Faxonius propinquus,26,Dfb,213,344,0.6191860465116279
2227004,Faxonius immunis,26,Dfb,82,154,0.5324675324675324
5789956,Astacopsis franklinii,15,Cfb,78,90,0.8666666666666667
4648505,Spinastacoides inermis,15,Cfb,179,192,0.9322916666666666
5789955,Astacopsis gouldi,15,Cfb,706,713,0.9901823281907434
4648471,Euastacus kershawi,15,Cfb,217,219,0.9908675799086758
4648448,Euastacus yarraensis,15,Cfb,162,173,0.9364161849710982
4648497,Euastacus armatus,15,Cfb,186,396,0.4696969696969697
