dcmlLtt,dcmlLng,scientific_name,year_first,year_last
50.49069,4.24539,Heracleum mantegazzianum,2019,2019
50.49094,4.24532,Heracleum mantegazzianum,2019,2019
50.49243,4.24648,Impatiens glandulifera,2018,2018
50.493467,4.250693,Impatiens glandulifera,2020,2020
50.49381,4.24523,Impatiens glandulifera,2019,2019
50.49382,4.24526,Impatiens glandulifera,2018,2018
50.49392,4.23486,Hydrocotyle ranunculoides,2019,2019
50.49396,4.23436,Heracleum mantegazzianum,2019,2019
50.49401,4.23479,Hydrocotyle ranunculoides,2019,2019
50.49401,4.23479,Ludwigia grandiflora,2019,2019
50.49403,4.23448,Heracleum mantegazzianum,2019,2019
50.49591,4.26762,Heracleum mantegazzianum,2020,2020
50.49609,4.26746,Heracleum mantegazzianum,2019,2019
50.50061,4.23688,Myriophyllum aquaticum,2019,2019
50.5024,4.1816700000000004,Heracleum mantegazzianum,2011,2011
50.50431,4.22126,Impatiens glandulifera,2016,2016
50.5069,4.22268,Impatiens glandulifera,2016,2016
50.51719,4.27362,Heracleum mantegazzianum,2012,2012
50.51992,4.13796,Heracleum mantegazzianum,2011,2011
50.52233,4.21545,Impatiens glandulifera,2016,2016
50.52945,4.30625,Heracleum mantegazzianum,2014,2014
50.53137,4.30421,Heracleum mantegazzianum,2014,2014
50.53187,4.30419,Heracleum mantegazzianum,2013,2013
50.53211,4.30041,Heracleum mantegazzianum,2012,2012
50.53215,4.30054,Heracleum mantegazzianum,2012,2012
50.53217,4.30376,Heracleum mantegazzianum,2013,2013
50.53219,4.30007,Heracleum mantegazzianum,2012,2012
50.53258,4.30301,Impatiens glandulifera,2016,2016
50.53284,4.26156,Impatiens glandulifera,2015,2015
50.53307,4.30025,Heracleum mantegazzianum,2016,2016
50.53329,4.30067,Heracleum mantegazzianum,2010,2010
50.53341,4.30099,Heracleum mantegazzianum,2017,2017
50.5337,4.30128,Heracleum mantegazzianum,2017,2017
50.53376,4.30175,Heracleum mantegazzianum,2016,2016
50.53418,4.30118,Heracleum mantegazzianum,2014,2014
50.53422,4.30203,Heracleum mantegazzianum,2010,2010
50.53427,4.30181,Heracleum mantegazzianum,2017,2017
50.53495,4.305,Heracleum mantegazzianum,2013,2013
50.5358,4.30127,Heracleum mantegazzianum,2016,2016
50.53581,4.30135,Heracleum mantegazzianum,2010,2010
50.53584,4.30135,Heracleum mantegazzianum,2017,2017
50.53584,4.30175,Heracleum mantegazzianum,2016,2016
50.53587,4.16483,Impatiens glandulifera,2019,2019
50.53598,4.1836,Impatiens glandulifera,2015,2015
50.53599,4.30146,Heracleum mantegazzianum,2017,2017
50.53607,4.30082,Heracleum mantegazzianum,2016,2016
50.53609,4.3021,Heracleum mantegazzianum,2014,2014
50.53702,4.30318,Impatiens glandulifera,2021,2021
50.53813,4.30199,Heracleum mantegazzianum,2019,2019
50.53865,4.32375,Impatiens glandulifera,2015,2015
50.5392,4.30254,Heracleum mantegazzianum,2010,2010
50.54036,4.20218,Impatiens glandulifera,2015,2016
50.54064,4.27197,Impatiens glandulifera,2016,2016
50.54072,4.17846,Impatiens glandulifera,2001,2001
50.54104,4.30336,Heracleum mantegazzianum,2016,2016
50.54212,4.16545,Impatiens glandulifera,2018,2018
50.54302,4.18883,Impatiens glandulifera,2016,2016
50.54304,4.318,Impatiens glandulifera,2018,2018
50.54356,4.31355,Impatiens glandulifera,2018,2018
50.54359,4.53399,Heracleum mantegazzianum,2016,2016
50.54368,4.18821,Impatiens glandulifera,2018,2018
50.54379,4.31329,Heracleum mantegazzianum,2011,2011
50.544222,4.182442,Impatiens glandulifera,2018,2018
50.5446,4.1845,Impatiens glandulifera,2015,2015
50.54474,4.18527,Impatiens glandulifera,2020,2020
50.54493,4.53578,Heracleum mantegazzianum,2017,2017
50.54495,4.1637,Impatiens glandulifera,2015,2016
50.5452,4.1813,Impatiens glandulifera,2015,2015
50.54534,4.18103,Impatiens glandulifera,2016,2016
50.54546,4.18129,Impatiens glandulifera,2015,2015
50.54695,4.30966,Impatiens glandulifera,2015,2015
50.54796,4.30885,Impatiens glandulifera,2015,2015
50.54803,4.30855,Impatiens glandulifera,2016,2016
50.548525,4.28224,Impatiens glandulifera,2020,2020
50.54984,4.30542,Heracleum mantegazzianum,2001,2001
50.55068,4.30891,Heracleum mantegazzianum,2013,2013
50.55108,4.49399,Heracleum mantegazzianum,2011,2011
50.55224,4.29673,Impatiens glandulifera,2016,2016
50.55237,4.30222,Heracleum mantegazzianum,2016,2016
50.55281,4.28528,Impatiens glandulifera,2018,2018
50.55308,4.28552,Heracleum mantegazzianum,2013,2013
50.55321,4.30451,Impatiens glandulifera,2016,2016
50.55341,4.30808,Heracleum mantegazzianum,2012,2012
50.55355,4.30574,Heracleum mantegazzianum,2010,2010
50.55366,4.30577,Heracleum mantegazzianum,2016,2016
50.55368,4.30564,Heracleum mantegazzianum,2017,2017
50.55407,4.30869,Heracleum mantegazzianum,2010,2010
50.55418,4.49137,Heracleum mantegazzianum,2013,2013
50.55448,4.3113,Heracleum mantegazzianum,2011,2011
50.55477,4.28364,Hydrocotyle ranunculoides,2013,2013
50.55508,4.28374,Hydrocotyle ranunculoides,2016,2016
50.55557,4.31427,Heracleum mantegazzianum,2013,2013
50.55663,4.6034,Impatiens glandulifera,2009,2009
50.55816,4.54301,Heracleum mantegazzianum,2011,2011
50.55822,4.55581,Heracleum mantegazzianum,2010,2010
50.55832,4.08844,Impatiens glandulifera,2015,2015
