WVLC,species,year_first,year_last,geometry
VBRBMB0384,Crassula helmsii,2022,2022,"c(166445.242094655, 184440.758214794)"
VBRBTM0022,Myriophyllum aquaticum,2018,2021,"c(165385.397512003, 165388.201332756, 165393.818815213, 165395.250288628, 170842.478013083, 170846.935940057, 170852.514589732, 170844.731928673)"
VBRGRI0014,Impatiens glandulifera,2012,2016,"c(150625.356139018, 150638.012487247, 150660.50340586, 150664.019413348, 150665.426337557, 180583.47037904, 180555.661124422, 180576.800418709, 180566.788971984, 180559.002111209)"
VBRGRI0024,Heracleum mantegazzianum,2021,2021,"c(147614.140382986, 177720.550244886)"
VBRGRI0080,Heracleum mantegazzianum,2017,2017,"c(148020.116019482, 178164.243227317)"
VBRGRI0110,Crassula helmsii,2021,2021,"c(150560.277491704, 184089.878329057)"
VBRGRI0159,Heracleum mantegazzianum,2017,2021,"c(150193.095003799, 150207.155604147, 179739.094355804, 179743.544760362)"
VBRHCT0046,Myriophyllum aquaticum,2015,2015,"c(168276.372874833, 186857.568805448)"
VBRHCT0109,Pontederia cordata,2015,2015,"c(168873.856337644, 182791.449404832)"
VBRHCT0116,Myriophyllum aquaticum,2022,2022,"c(167623.381727556, 184799.490288425)"
VBRHCT0123,Myriophyllum aquaticum,2020,2020,"c(169982.467229236, 185758.057817064)"
VBRHCT0137,Pontederia cordata,2014,2014,"c(170437.104397476, 185506.183226369)"
VBRHIL0030,Heracleum mantegazzianum,2010,2010,"c(155931.529702829, 162312.170905266)"
VBRHIL0030,Impatiens glandulifera,2014,2014,"c(155866.661650401, 162287.624756796)"
VBRHLB0032,Heracleum mantegazzianum,2014,2014,"c(169075.887182774, 167309.421169953)"
VBRHLB0146,Crassula helmsii,2018,2018,"c(169300.350752536, 169352.512331807, 169380.026108034, 163969.705271121, 163975.460272349, 163972.225101602)"
VBRHLB0147,Heracleum mantegazzianum,2018,2018,"c(164564.616010287, 164150.127953978)"
VBRHLE0087,Crassula helmsii,2020,2022,"c(140863.285865122, 140863.287792957, 155952.722549169, 155953.834916958)"
VBRHLE0088,Impatiens glandulifera,2019,2019,"c(140470.984420143, 155767.651151611)"
VBRKAM0093,Myriophyllum aquaticum,2013,2013,"c(161279.306140865, 182680.436156948)"
VBRKEE0112,Ludwigia grandiflora,2019,2021,"c(170799.163915849, 171065.742652987, 188200.672630628, 188427.79963329)"
VBRLEU0010,Erythranthe guttata,2012,2012,"c(174434.711986174, 172709.17788795)"
VBRLEU0026,Hydrocotyle ranunculoides,2015,2015,"c(174351.924007739, 172497.430075535)"
VBRLEU0034,Hydrocotyle ranunculoides,2011,2011,"c(174563.419108483, 172586.303124871)"
VBRLEU0075,Petasites japonicus,2020,2020,"c(172576.480039312, 174258.200408716)"
VBRLEU0127,Procambarus virginalis,2018,2021,"c(174195.801492904, 174197.902990854, 174233.151109302, 174288.152224547, 173067.377749058, 173069.612348973, 173058.762960487, 173038.883850452)"
VBRLEU0129,Procambarus virginalis,2017,2021,"c(174720.819874243, 175122.506597656, 176064.502958156, 176073.097646904)"
VBRLEU0131,Procambarus virginalis,2019,2020,"c(174775.953676308, 174783.506965069, 174797.711752617, 174822.278939441, 175714.347760322, 175753.541341117, 175873.529312253, 175737.929213341)"
VBRMAC0019,Pontederia cordata,2017,2018,"c(156085.277067971, 156090.902033912, 179146.428148287, 179146.434760072)"
VBRMEI0011,Lysichiton americanus,2021,2021,"c(147374.927707403, 147377.52319492, 179968.107300689, 179956.647945473)"
VBROHV0020,Ludwigia grandiflora,2009,2014,"c(170488.850214082, 170675.820273205, 170692.665898004, 170697.512072165, 170705.914941517, 170706.67220614, 170362.781765213, 170458.074670036, 170472.602857179, 170493.757975122, 170506.027888655, 170492.681907384)"
VBROHV0023,Ludwigia grandiflora,2020,2021,"c(170395.773581147, 170415.477249747, 170438.080971821, 170210.016250146, 170214.542972029, 170197.945251903)"
VBROHV0026,Ludwigia grandiflora,2010,2016,"c(170348.280150361, 170359.427623389, 170287.699821902, 170318.890923996)"
VBROHV0073,Impatiens glandulifera,2010,2010,"c(170532.96619587, 170785.673139904)"
VBROVR0020,Impatiens glandulifera,2015,2015,"c(163191.816436579, 163266.574174205)"
VBROVR0072,Hydrocotyle ranunculoides,2018,2018,"c(166344.680188734, 161809.36346187)"
VBRROT0018,Crassula helmsii,2014,2014,"c(172602.275408362, 183067.731251845)"
VBRROT0052,Myriophyllum heterophyllum,2015,2015,"c(172468.099410402, 183062.70058694)"
VBRROT0256,Ludwigia grandiflora,2021,2021,"c(174976.956781824, 185583.843273313)"
VBRSNO0018,Impatiens glandulifera,2020,2021,"c(157961.352967062, 158004.978137116, 179051.075320371, 179031.118641679)"
VBRSPL0090,Impatiens glandulifera,2004,2009,"c(140516.303525786, 163672.144927627)"
VBRTRE0069,Ludwigia grandiflora,2021,2021,"c(174929.075042513, 188247.976153434)"
VBRTRE0147,Myriophyllum aquaticum,2018,2018,"c(173983.358600308, 186168.775411624)"
VBRTRE0259,Myriophyllum aquaticum,2013,2016,"c(177789.787148247, 177794.040076994, 177795.378476866, 188301.408349143, 188293.643734963, 188305.888123691)"
VBRTRV0005,Myriophyllum aquaticum,2020,2020,"c(161731.830393469, 168005.232816977)"
VBRVIL0004,Heracleum mantegazzianum,2021,2021,"c(150116.50512168, 178424.197147395)"
VBRVIL0012,Heracleum mantegazzianum,2022,2022,"c(151414.57695846, 178669.134165582)"
VBRVIL0021,Crassula helmsii,2017,2020,"c(155342.862464167, 155343.568768761, 181109.05718123, 181105.720595759)"
VBRVIL0039,Impatiens glandulifera,2017,2017,"c(155157.457087711, 178845.063872874)"
VBRVIL0051,Crassula helmsii,2020,2020,"c(156171.664017837, 182176.809401792)"
VBRVIL0060,Procambarus clarkii,2022,2022,"c(156060.222525688, 156062.33052112, 182529.321978046, 182529.324446644)"
VBRWEM0034,Heracleum mantegazzianum,2014,2015,"c(146042.223988209, 146092.865947979, 177704.803936329, 177709.215984385)"
VBRWEM0039,Heracleum mantegazzianum,2017,2017,"c(146163.318421151, 177876.028617986)"
VBRZAV0024,Heracleum mantegazzianum,2017,2020,"c(156486.72041601, 156514.833215824, 174117.640548375, 174148.823485289)"
VBRZAV0029,Heracleum mantegazzianum,2022,2022,"c(156813.113239538, 174247.09943496)"
VBRZEM0015,Heracleum mantegazzianum,2010,2010,"c(151195.327608325, 186904.493535115)"
VBRZEM0090,Procambarus clarkii,2012,2022,"c(159215.926815565, 159226.431128965, 159580.390204241, 159605.71045839, 159652.741541395, 160143.846834827, 160282.245504691, 186467.594807237, 186483.187873789, 186438.218892875, 186414.904135902, 186421.6661782, 186264.634370989, 186228.195721733)"
VBRZEM0105,Crassula helmsii,2019,2019,"c(154212.032598371, 186187.440200562)"
VBRZEM0196,Erythranthe guttata,2022,2022,"c(158134.547246356, 185182.013481507)"
VBRZEM0196,Impatiens glandulifera,2010,2010,"c(158157.254233417, 185480.186392077)"
VBRZEM0196,Ludwigia grandiflora,2010,2021,"c(157839.866227997, 157876.575375816, 158013.478537923, 158102.981358908, 158112.073393827, 158122.703649864, 158153.051125511, 158157.254233417, 185455.222623341, 185329.571159998, 185357.592333029, 185606.920908273, 185181.978263034, 185569.128370641, 185473.50506256, 185480.186392077)"
