WVLC,species,year_first,year_last,geometry
ANTBON0045,Erythranthe guttata,2022,2022,"c(161746.730368134, 192225.272390006)"
ANTMEC0030,Ludwigia grandiflora,2016,2021,"c(155139.699024131, 155195.902992909, 155328.714885851, 195248.229426831, 195121.462562892, 194803.427822447)"
ANTMEC0088,Pontederia cordata,2019,2019,"c(160250.716244155, 187970.243811203)"
ANTMEC0140,Impatiens glandulifera,2002,2022,"c(155516.825817367, 155536.692558474, 155538.244690446, 155548.821932196, 155600.803979698, 188671.676774072, 188339.850663621, 188332.39883671, 188286.799277291, 188247.919229626)"
ANTMEC0156,Petasites japonicus,2020,2020,"c(160258.252528356, 187708.830329983)"
ANTMEC0189,Myriophyllum aquaticum,2016,2017,"c(156186.342324725, 156205.144684343, 189876.121409845, 189995.17788111)"
ANTMEC0385,Heracleum mantegazzianum,2021,2021,"c(159434.48478329, 189833.184969261)"
ANTMEC0388,Crassula helmsii,2022,2022,"c(160314.25179718, 160354.959328513, 190258.711034802, 190252.117353304)"
ANTPUT0309,Myriophyllum aquaticum,2022,2022,"c(169860.953805099, 192927.47462421)"
ANTSKW0361,Impatiens glandulifera,2015,2015,"c(159516.812497223, 194671.491453693)"
ANTSKW0423,Heracleum mantegazzianum,2011,2011,"c(160331.078519667, 194487.2667113)"
OVLGER0166,Myriophyllum aquaticum,2021,2021,"c(118724.479956757, 159896.718245098)"
OVLGER0282,Ludwigia grandiflora,2016,2016,"c(118834.929491684, 159362.110296942)"
VBRARS0120,Myriophyllum aquaticum,2012,2022,"c(181368.862518145, 181373.1010517, 181377.285933522, 181382.179467218, 181389.272784444, 187830.03930766, 187825.614942641, 187830.090089194, 187833.457033607, 187821.26254506)"
VBRBEG0026,Myriophyllum aquaticum,2011,2011,"c(178070.779814545, 190079.546542923)"
VBRBEG0134,Crassula helmsii,2022,2022,"c(178437.581257848, 188955.708510773)"
VBRBEG0181,Crassula helmsii,2014,2014,"c(177600.083979194, 189395.076618563)"
VBRBEG0181,Myriophyllum aquaticum,2014,2014,"c(177600.083979194, 189395.076618563)"
VBRBEG0664,Crassula helmsii,2019,2019,"c(177712.44412018, 188985.16928695)"
VBRBIE0033,Crassula helmsii,2015,2022,"c(177654.547682767, 177660.64713124, 177662.906338028, 177672.708183132, 177681.941810322, 173161.322896675, 173205.852424051, 173178.053653883, 173188.117500054, 173172.592462384)"
VBRBMB0084,Ludwigia grandiflora,2018,2021,"c(162900.949041748, 162957.702251605, 162958.409791299, 187516.707907693, 187560.235211176, 187558.012053637)"
