gbifID,eventDate,year,month,day,taxonKey,species,BEKNAAM,POLY_AREA,Area_km2,WVLC,NAAM,GEBIED,OPPWVL,OMTWVL,geometry
3867026725,2022-07-02T00:00:00Z,2022,7,2,6070603,Erythranthe guttata,Dijle - Dyle,1284040130.36,1284,ANTBON0045,NA,NA,833.22681797,126.629078063,"c(161746.730368134, 192225.272390006)"
3867020004,2022-06-20T00:00:00Z,2022,6,20,6070603,Erythranthe guttata,Zenne - Senne,1168339049.21,1168,VBRZEM0196,NA,Weerdse Vijver,111973.222889,2706.04577306,"c(158134.547246356, 185182.013481507)"
3866997260,2022-07-18T00:00:00Z,2022,7,18,5362054,Crassula helmsii,Dijle - Dyle,1284040130.36,1284,VBRBEG0134,NA,NA,2568.7933542,212.78788545,"c(178437.581257848, 188955.708510773)"
3866983713,2022-06-13T00:00:00Z,2022,6,13,3034825,Heracleum mantegazzianum,Zenne - Senne,1168339049.21,1168,VBRZAV0029,NA,NA,14839.5466532,529.769377525,"c(156813.113239538, 174247.09943496)"
3829995367,2022-05-09T00:00:00Z,2022,5,9,2227300,Procambarus clarkii,Dijle - Dyle,1284040130.36,1284,VBRZEM0090,NA,NA,328957.488368,3138.61714231,"c(159215.926815565, 186467.594807237)"
3805204398,2022-05-30T00:00:00Z,2022,5,30,2891770,Impatiens glandulifera,Zenne - Senne,1168339049.21,1168,ANTMEC0140,NA,NA,384508.926714,2909.29454136,"c(155600.803979698, 188247.919229626)"
3805199276,2022-05-26T00:00:00Z,2022,5,26,5362054,Crassula helmsii,Zenne - Senne,1168339049.21,1168,VBRHLE0087,NA,NA,212.653158939,52.4902390485,"c(140863.285865122, 155952.722549169)"
3805188978,2022-05-19T00:00:00Z,2022,5,19,5361785,Myriophyllum aquaticum,Dijle - Dyle,1284040130.36,1284,ANTPUT0309,NA,NA,115.461188769,39.089320973,"c(169860.953805099, 192927.47462421)"
3805188212,2022-05-25T00:00:00Z,2022,5,25,5362054,Crassula helmsii,Dijle - Dyle,1284040130.36,1284,ANTMEC0388,NA,Mechels Broek,86289.4429519,1514.61611177,"c(160354.959328513, 190252.117353304)"
3805187146,2022-05-21T00:00:00Z,2022,5,21,3034825,Heracleum mantegazzianum,Zenne - Senne,1168339049.21,1168,VBRVIL0012,NA,Tangebeekbos,4425.15348862,289.268186689,"c(151414.57695846, 178669.134165582)"
3805185253,2022-05-25T00:00:00Z,2022,5,25,5362054,Crassula helmsii,Dijle - Dyle,1284040130.36,1284,ANTMEC0388,NA,Mechels Broek,86289.4429519,1514.61611177,"c(160314.25179718, 190258.711034802)"
3805184791,2022-05-13T00:00:00Z,2022,5,13,5362054,Crassula helmsii,Dijle - Dyle,1284040130.36,1284,VBRBMB0384,NA,NA,81.8928107438,42.2236028877,"c(166445.242094655, 184440.758214794)"
