year,accptTK,gbfp_SN,dcmlLtt,dcmlLng,Source,datstID,occrrnS,recrdrl,BEKNAAM,POLY_AREA,AREA,Area_km2,scientific_name,vernacular_name_en,vernacular_name_nl,vernacular_name_fr,ias_link,category,score,origin,popup
2021,3034825,Heracleum mantegazzianum Sommier & Levier,50.77886,4.33186,Waarnemingen.be,https://doi.org/10.15468/smdvdo,PRESENT,<a href=https://www.gbif.org/occurrence/3467130326>,Zenne - Senne,1168339049.21,1168.33904921,1168,Heracleum mantegazzianum,Giant hogweed,Reuzenbereklauw,Berce du Caucase,https://ias.biodiversity.be/species/show/10,FG1,A3,Asia,Species: Giant hogweed <em>Heracleum mantegazzianum</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/smdvdo>https://doi.org/10.15468/smdvdo</a><br>Source: Waarnemingen.be<br><a href=https://www.gbif.org/occurrence/3467130326>GBIF record</a>
2021,5329212,Elodea nuttallii (Planch.) H.St.John,50.74245,4.61191,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3463383337>,Dijle - Dyle,1284040130.36,1284.04013036,1284,Elodea nuttallii,Nuttall's waterweed,NA,NA,NA,NA,NA,NA,Species: Nuttall's waterweed <em>Elodea nuttallii</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3463383337>GBIF record</a>
2021,2891770,Impatiens glandulifera Royle,50.67031,4.15766,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3463376518>,Zenne - Senne,1168339049.21,1168.33904921,1168,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3463376518>GBIF record</a>
2021,5329212,Elodea nuttallii (Planch.) H.St.John,50.78466,4.1473,Waarnemingen.be,https://doi.org/10.15468/smdvdo,PRESENT,<a href=https://www.gbif.org/occurrence/3436679306>,Zenne - Senne,1168339049.21,1168.33904921,1168,Elodea nuttallii,Nuttall's waterweed,NA,NA,NA,NA,NA,NA,Species: Nuttall's waterweed <em>Elodea nuttallii</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/smdvdo>https://doi.org/10.15468/smdvdo</a><br>Source: Waarnemingen.be<br><a href=https://www.gbif.org/occurrence/3436679306>GBIF record</a>
2021,2891770,Impatiens glandulifera Royle,50.78462,4.19773,Waarnemingen.be,https://doi.org/10.15468/smdvdo,PRESENT,<a href=https://www.gbif.org/occurrence/3421049373>,Zenne - Senne,1168339049.21,1168.33904921,1168,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/smdvdo>https://doi.org/10.15468/smdvdo</a><br>Source: Waarnemingen.be<br><a href=https://www.gbif.org/occurrence/3421049373>GBIF record</a>
2010,2891770,Impatiens glandulifera Royle,50.7448,4.648,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3415308442>,Dijle - Dyle,1284040130.36,1284.04013036,1284,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2010<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3415308442>GBIF record</a>
2021,2891770,Impatiens glandulifera Royle,50.73237,4.46497,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3415305383>,Dijle - Dyle,1284040130.36,1284.04013036,1284,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3415305383>GBIF record</a>
2021,2891770,Impatiens glandulifera Royle,50.59608,4.53378,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3415304424>,Dijle - Dyle,1284040130.36,1284.04013036,1284,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3415304424>GBIF record</a>
2021,2891770,Impatiens glandulifera Royle,50.77002,4.64333,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3415301336>,Dijle - Dyle,1284040130.36,1284.04013036,1284,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3415301336>GBIF record</a>
2021,2891770,Impatiens glandulifera Royle,50.7397,4.64845,Natagora,https://doi.org/10.15468/p58ip1,PRESENT,<a href=https://www.gbif.org/occurrence/3415298435>,Dijle - Dyle,1284040130.36,1284.04013036,1284,Impatiens glandulifera,Himalayan balsam,Reuzenbalsemien,Balsamine de l’Himalaya,https://ias.biodiversity.be/species/show/65,FG1,A3,Asia,Species: Himalayan balsam <em>Impatiens glandulifera</em><br>Year: 2021<br>Dataset: <a href=https://doi.org/10.15468/p58ip1>https://doi.org/10.15468/p58ip1</a><br>Source: Natagora<br><a href=https://www.gbif.org/occurrence/3415298435>GBIF record</a>
