idsurfhyd,species,year_first,year_last,geometry
ETA014,Erythranthe guttata,2013,2022,"c(154399.56406095, 154403.108413876, 154408.049527306, 154481.210863432, 168785.891056865, 168760.308813326, 168749.188995499, 168874.953336252)"
ETA014,Petasites japonicus,2022,2022,"c(154439.521047609, 169019.529795246)"
ETA015,Heracleum mantegazzianum,2005,2005,"c(154515.909183604, 168671.413828135)"
ETA051,Impatiens glandulifera,2015,2015,"c(153536.518535583, 164689.382870925)"
ETA105,Pontederia cordata,2012,2012,"c(154951.23873858, 167271.299576988)"
ETA219,Erythranthe guttata,2015,2015,"c(154398.193797798, 168740.281388707)"
ETA290,Myriophyllum aquaticum,2018,2022,"c(143541.015518498, 143543.828992311, 143544.540533611, 143546.664255988, 143547.370346826, 143549.480179546, 143551.169898221, 143552.302091364, 143552.303451732, 143553.148038708, 143555.115569978, 143556.531827369, 143557.236556643, 143558.639220091, 143567.089194261, 167192.744959799, 167188.291919135, 167193.853041279, 167201.637232314, 167202.74876682, 167199.186509251, 167197.84956379, 167201.630334678, 167202.742731722, 167201.851779965, 167197.177299988, 167202.737562482, 167202.736701276, 
167197.172993942, 167191.600683982)"
FON076,Procambarus clarkii,2017,2017,"c(150695.635748571, 170797.505807926)"
FON084,Zizania latifolia,2022,2022,"c(143256.606339978, 166878.292380149)"
FON172,Impatiens glandulifera,2013,2021,"c(145774.468016988, 145775.807638519, 145780.09005673, 145827.955074956, 174444.49911768, 174447.612818459, 174434.482861623, 174446.681473535)"
FON172,Myriophyllum aquaticum,2013,2014,"c(145785.034970121, 145797.691898209, 145817.397009612, 174457.839702293, 174444.480605398, 174444.464978949)"
FON172,Pontederia cordata,2013,2013,"c(145784.317024215, 174440.041580788)"
