"Id","geometry"
"27",c(4.25667823571393, 50.5123942108646)
"26",c(4.17877193278344, 50.5429251575326)
"25",c(4.09271678638932, 50.5687843739557)
"24",c(4.01676329683622, 50.5768738387404)
"28",c(4.27273305270992, 50.5653448778684)
"4",c(4.64904919535042, 50.5884791739531)
"29",c(4.32995756524002, 50.599496576014)
"31",c(4.1304758855031, 50.6124162941322)
"2",c(4.5226714751829, 50.5768225016871)
"30",c(4.0232171499041, 50.6282329955127)
"3",c(4.60583627695929, 50.6071232250493)
"5",c(4.70435855385692, 50.6286066353995)
"1",c(4.46053465931997, 50.6128009101355)
"32",c(4.25743576652863, 50.6338062775985)
"33",c(4.12601055571341, 50.6565816861819)
"36",c(4.28238350965658, 50.6795047487839)
"35",c(4.22426618100493, 50.6674038852771)
"35",c(4.35239039194937, 50.7152715264037)
"35",c(4.37192726677919, 50.7290834338222)
"35",c(4.38681593758926, 50.731391232611)
"37",c(4.36580135688724, 50.6739266784262)
"52",c(4.09856646781524, 50.708240302065)
"52",c(4.10237860532206, 50.7096605983204)
"52",c(4.02117989570841, 50.6746319021088)
"6",c(4.46618991636575, 50.6767459874045)
"54",c(3.8932008989988, 50.7279026468943)
"7",c(4.6024759316372, 50.6939545794662)
"9",c(4.45363608218744, 50.7240283629566)
"8",c(4.71404620298791, 50.7093747359314)
"10",c(4.73447271061717, 50.7807785217048)
"42",c(4.24010605687468, 50.8231810298708)
"34",c(4.13599659031078, 50.6992254427218)
"47",c(4.30564094632134, 50.8918667387897)
"47",c(4.29862784699161, 50.8788521843411)
"22",c(4.69475937243322, 50.9676206105626)
"22",c(4.69384413911921, 50.9679827357062)
"22",c(4.69319687738073, 50.9682613819847)
"22",c(4.67358110289607, 50.9957170941674)
"22",c(4.59940870082102, 51.0038844348801)
"22",c(4.733787255214, 50.9911887768257)
"17",c(4.83195906472477, 50.8603309811387)
"17",c(4.83120753882722, 50.8609045730258)
"17",c(4.82756368155435, 50.8682842011294)
"17",c(4.69966924638339, 50.8830763505643)
"17",c(4.74592834157402, 50.8933596532291)
"17",c(4.72333582461689, 50.92913423401)
"17",c(4.70676796219192, 50.9541717978938)
"40",c(4.37192727534331, 50.7290833465354)
"40",c(4.27089818859213, 50.7515559755911)
"18",c(4.66166619520559, 50.8787493113524)
"18",c(4.66921947247407, 50.9376577004261)
"18",c(4.69397298337093, 50.9106172870848)
"18",c(4.60653535731138, 50.9548192648193)
"18",c(4.53937500431202, 50.9862593412391)
"18",c(4.50058865923398, 51.0050043112765)
"18",c(4.48018387266337, 51.0152052559965)
"18",c(4.44341440344338, 51.045585155647)
"23",c(4.62096988998462, 51.0308676469518)
"13",c(4.66696077952777, 50.7960945740221)
"19",c(4.65160345671983, 50.9149667482988)
"19",c(4.64383137530888, 50.9657917169661)
"14",c(4.58979357289378, 50.8696947462988)
"14",c(4.57872008555992, 50.8440174628027)
"20",c(4.5174153264268, 50.8809206832896)
"20",c(4.57877956299878, 50.9108111704456)
"20",c(4.55067207743578, 50.9829827487056)
"20",c(4.57570324848782, 50.9742879050331)
"50",c(4.41357123721625, 50.9502133938849)
"50",c(4.42511458390126, 50.9334186157023)
"38",c(4.17150940718276, 50.7744034989434)
"53",c(3.99541517352257, 50.7371528357652)
"21",c(4.46122000175037, 50.9048277028375)
"21",c(4.47853652478894, 50.987147553923)
"21",c(4.50359055621458, 50.9471498933255)
"21",c(4.52958940272174, 51.0014349186587)
"51",c(4.46618542213829, 50.975668506666)
"51",c(4.42793167932732, 51.0081152724194)
"15",c(4.75272006942888, 50.8066268728898)
"15",c(4.75763631910974, 50.8066956372421)
"15",c(4.72233623981178, 50.8689198923813)
"15",c(4.65465365542346, 50.8454961981602)
"49",c(4.36304753554889, 50.9953926949771)
"49",c(4.34271702918864, 50.9353792197881)
"16",c(4.75672171949124, 50.8473640935495)
"11",c(4.64548287735765, 50.809119438053)
"11",c(4.6453913826463, 50.8091980323982)
"11",c(4.52111913389215, 50.7838606821236)
"12",c(4.41265909817848, 50.7392317127315)
"12",c(4.57416299887084, 50.748055736794)
"48",c(4.4804537183134, 50.8679642678656)
"44",c(4.47684747059947, 50.821741233477)
"44",c(4.43283628567262, 50.8135948723696)
"46",c(4.35579311421272, 50.8617202357048)
"45",c(4.38446583715074, 50.8407567113677)
"43",c(4.34418700753097, 50.7866814597449)
"41",c(4.32255314141963, 50.7327013167763)
"39",c(4.21373717806444, 50.7380997614664)
"55",c(4.1810539992254, 50.6496348411266)
