"species","RBSU","n_observations","state"
"Aponogeton distachyos","19",1,"current"
"Aponogeton distachyos","2",1,"current"
"Aponogeton distachyos","46",1,"current"
"Crassula helmsii","12",1,"current"
"Crassula helmsii","16",1,"current"
"Crassula helmsii","17",9,"current"
"Crassula helmsii","19",1,"current"
"Crassula helmsii","20",1,"current"
"Crassula helmsii","21",1,"current"
"Crassula helmsii","23",14,"current"
"Crassula helmsii","29",1,"current"
"Crassula helmsii","33",2,"current"
"Crassula helmsii","38",1,"current"
"Crassula helmsii","50",4,"current"
"Crassula helmsii","51",5,"current"
"Crassula helmsii","7",2,"current"
"Crassula helmsii","9",3,"current"
"Elodea densa","37",2,"current"
"Elodea densa","54",1,"current"
"Erythranthe guttata","19",1,"current"
"Erythranthe guttata","21",1,"current"
"Erythranthe guttata","23",3,"current"
"Erythranthe guttata","38",6,"current"
"Erythranthe guttata","39",8,"current"
"Erythranthe guttata","40",1,"current"
"Erythranthe guttata","41",1,"current"
"Erythranthe guttata","42",11,"current"
"Erythranthe guttata","44",2,"current"
"Heracleum mantegazzianum","1",9,"current"
"Heracleum mantegazzianum","10",24,"current"
"Heracleum mantegazzianum","11",21,"current"
"Heracleum mantegazzianum","12",1,"current"
"Heracleum mantegazzianum","13",3,"current"
"Heracleum mantegazzianum","14",46,"current"
"Heracleum mantegazzianum","15",11,"current"
"Heracleum mantegazzianum","16",6,"current"
"Heracleum mantegazzianum","17",41,"current"
"Heracleum mantegazzianum","18",17,"current"
"Heracleum mantegazzianum","19",14,"current"
"Heracleum mantegazzianum","2",7,"current"
"Heracleum mantegazzianum","20",13,"current"
"Heracleum mantegazzianum","21",26,"current"
"Heracleum mantegazzianum","22",3,"current"
"Heracleum mantegazzianum","23",12,"current"
"Heracleum mantegazzianum","27",1,"current"
"Heracleum mantegazzianum","28",13,"current"
"Heracleum mantegazzianum","29",1,"current"
"Heracleum mantegazzianum","3",1,"current"
"Heracleum mantegazzianum","32",2,"current"
"Heracleum mantegazzianum","35",3,"current"
"Heracleum mantegazzianum","36",3,"current"
"Heracleum mantegazzianum","37",18,"current"
"Heracleum mantegazzianum","38",5,"current"
"Heracleum mantegazzianum","40",3,"current"
"Heracleum mantegazzianum","41",3,"current"
"Heracleum mantegazzianum","42",3,"current"
"Heracleum mantegazzianum","43",11,"current"
"Heracleum mantegazzianum","44",10,"current"
"Heracleum mantegazzianum","45",25,"current"
"Heracleum mantegazzianum","46",16,"current"
"Heracleum mantegazzianum","47",71,"current"
"Heracleum mantegazzianum","48",50,"current"
"Heracleum mantegazzianum","49",126,"current"
"Heracleum mantegazzianum","5",4,"current"
"Heracleum mantegazzianum","50",73,"current"
"Heracleum mantegazzianum","51",38,"current"
"Heracleum mantegazzianum","53",6,"current"
"Heracleum mantegazzianum","6",10,"current"
"Heracleum mantegazzianum","7",8,"current"
"Heracleum mantegazzianum","8",4,"current"
"Heracleum mantegazzianum","9",14,"current"
"Houttuynia cordata","1",1,"current"
"Houttuynia cordata","17",1,"current"
"Houttuynia cordata","2",1,"current"
"Houttuynia cordata","4",1,"current"
"Hydrocotyle ranunculoides","1",2,"current"
"Hydrocotyle ranunculoides","11",4,"current"
"Hydrocotyle ranunculoides","18",3,"current"
"Hydrocotyle ranunculoides","19",5,"current"
"Hydrocotyle ranunculoides","2",1,"current"
"Hydrocotyle ranunculoides","22",2,"current"
"Hydrocotyle ranunculoides","23",1,"current"
"Hydrocotyle ranunculoides","27",1,"current"
"Hydrocotyle ranunculoides","28",1,"current"
"Hydrocotyle ranunculoides","4",1,"current"
"Hydrocotyle ranunculoides","49",5,"current"
"Hydrocotyle ranunculoides","6",2,"current"
"Hydrocotyle ranunculoides","7",1,"current"
"Hydrocotyle ranunculoides","9",6,"current"
"Impatiens glandulifera","1",46,"current"
"Impatiens glandulifera","11",76,"current"
"Impatiens glandulifera","12",44,"current"
"Impatiens glandulifera","13",60,"current"
"Impatiens glandulifera","14",5,"current"
"Impatiens glandulifera","15",73,"current"
"Impatiens glandulifera","16",14,"current"
"Impatiens glandulifera","17",34,"current"
"Impatiens glandulifera","18",7,"current"
"Impatiens glandulifera","2",3,"current"
"Impatiens glandulifera","20",5,"current"
"Impatiens glandulifera","21",58,"current"
"Impatiens glandulifera","22",11,"current"
"Impatiens glandulifera","23",47,"current"
"Impatiens glandulifera","24",1,"current"
"Impatiens glandulifera","25",1,"current"
"Impatiens glandulifera","26",7,"current"
"Impatiens glandulifera","27",1,"current"
"Impatiens glandulifera","28",2,"current"
"Impatiens glandulifera","29",1,"current"
"Impatiens glandulifera","30",4,"current"
