"species","RBSU","n_observations","state"
"Impatiens glandulifera","31",3,"current"
"Impatiens glandulifera","32",7,"current"
"Impatiens glandulifera","33",10,"current"
"Impatiens glandulifera","34",5,"current"
"Impatiens glandulifera","35",13,"current"
"Impatiens glandulifera","36",12,"current"
"Impatiens glandulifera","37",5,"current"
"Impatiens glandulifera","38",37,"current"
"Impatiens glandulifera","39",63,"current"
"Impatiens glandulifera","40",78,"current"
"Impatiens glandulifera","41",16,"current"
"Impatiens glandulifera","42",18,"current"
"Impatiens glandulifera","43",3,"current"
"Impatiens glandulifera","44",12,"current"
"Impatiens glandulifera","47",6,"current"
"Impatiens glandulifera","48",1,"current"
"Impatiens glandulifera","49",12,"current"
"Impatiens glandulifera","50",50,"current"
"Impatiens glandulifera","51",114,"current"
"Impatiens glandulifera","52",5,"current"
"Impatiens glandulifera","53",40,"current"
"Impatiens glandulifera","54",5,"current"
"Impatiens glandulifera","55",10,"current"
"Impatiens glandulifera","7",94,"current"
"Impatiens glandulifera","8",36,"current"
"Impatiens glandulifera","9",11,"current"
"Koenigia polystachya","12",1,"current"
"Koenigia polystachya","8",1,"current"
"Lagarosiphon major","55",1,"current"
"Ludwigia grandiflora","15",1,"current"
"Ludwigia grandiflora","18",1,"current"
"Ludwigia grandiflora","2",1,"current"
"Ludwigia grandiflora","20",2,"current"
"Ludwigia grandiflora","21",3,"current"
"Ludwigia grandiflora","23",10,"current"
"Ludwigia grandiflora","25",6,"current"
"Ludwigia grandiflora","30",2,"current"
"Ludwigia grandiflora","31",10,"current"
"Ludwigia grandiflora","50",16,"current"
"Ludwigia grandiflora","51",2,"current"
"Ludwigia grandiflora","53",2,"current"
"Ludwigia grandiflora","54",1,"current"
"Ludwigia grandiflora","7",1,"current"
"Ludwigia grandiflora","9",2,"current"
"Ludwigia peploides","1",5,"current"
"Ludwigia peploides","28",2,"current"
"Lysichiton americanus","1",2,"current"
"Lysichiton americanus","2",1,"current"
"Lysichiton americanus","37",1,"current"
"Lysichiton americanus","4",1,"current"
"Lysichiton americanus","44",1,"current"
"Lysichiton americanus","49",3,"current"
"Lysichiton americanus","7",1,"current"
"Lysichiton americanus","8",5,"current"
"Lysichiton americanus","9",1,"current"
"Myriophyllum aquaticum","1",4,"current"
"Myriophyllum aquaticum","10",1,"current"
"Myriophyllum aquaticum","2",3,"current"
"Myriophyllum aquaticum","22",14,"current"
"Myriophyllum aquaticum","23",12,"current"
"Myriophyllum aquaticum","33",1,"current"
"Myriophyllum aquaticum","36",1,"current"
"Myriophyllum aquaticum","38",2,"current"
"Myriophyllum aquaticum","4",1,"current"
"Myriophyllum aquaticum","40",1,"current"
"Myriophyllum aquaticum","42",7,"current"
"Myriophyllum aquaticum","51",1,"current"
"Myriophyllum aquaticum","53",1,"current"
"Myriophyllum aquaticum","55",1,"current"
"Myriophyllum aquaticum","7",2,"current"
"Myriophyllum aquaticum","8",1,"current"
"Myriophyllum aquaticum","9",1,"current"
"Petasites japonicus","51",1,"current"
"Petasites japonicus","53",1,"current"
"Pontederia cordata","1",4,"current"
"Pontederia cordata","19",2,"current"
"Pontederia cordata","2",1,"current"
"Pontederia cordata","21",3,"current"
"Pontederia cordata","22",1,"current"
"Pontederia cordata","28",1,"current"
"Pontederia cordata","29",1,"current"
"Pontederia cordata","32",1,"current"
"Pontederia cordata","36",1,"current"
"Pontederia cordata","37",2,"current"
"Pontederia cordata","4",1,"current"
"Pontederia cordata","47",2,"current"
"Pontederia cordata","50",3,"current"
"Pontederia cordata","51",3,"current"
"Procambarus clarkii","10",9,"current"
"Procambarus clarkii","21",88,"current"
"Procambarus clarkii","25",40,"current"
"Procambarus clarkii","26",1,"current"
"Procambarus clarkii","44",3,"current"
"Procambarus clarkii","46",2,"current"
"Procambarus clarkii","50",3,"current"
"Procambarus clarkii","7",2,"current"
"Procambarus clarkii","8",2,"current"
"Procambarus virginalis","17",27,"current"
"Zizania latifolia","1",1,"current"
"Zizania latifolia","2",1,"current"
"Zizania latifolia","42",5,"current"
"Zizania latifolia","44",1,"current"
"Zizania latifolia","9",1,"current"
"Aponogeton distachyos","19",1,"baseline"
"Aponogeton distachyos","2",1,"baseline"
"Aponogeton distachyos","34",1,"baseline"
"Aponogeton distachyos","37",1,"baseline"
"Aponogeton distachyos","7",1,"baseline"
"Aponogeton distachyos","8",1,"baseline"
"Crassula helmsii","1",1,"baseline"
"Crassula helmsii","10",1,"baseline"
"Crassula helmsii","12",7,"baseline"
"Crassula helmsii","13",20,"baseline"
"Crassula helmsii","16",11,"baseline"
"Crassula helmsii","17",7,"baseline"
"Crassula helmsii","19",6,"baseline"
"Crassula helmsii","21",3,"baseline"
"Crassula helmsii","22",5,"baseline"
"Crassula helmsii","23",20,"baseline"
"Crassula helmsii","24",1,"baseline"
"Crassula helmsii","26",1,"baseline"
"Crassula helmsii","33",5,"baseline"
"Crassula helmsii","35",1,"baseline"
"Crassula helmsii","37",4,"baseline"
"Crassula helmsii","38",1,"baseline"
"Crassula helmsii","40",7,"baseline"
"Crassula helmsii","46",2,"baseline"
"Crassula helmsii","49",2,"baseline"
"Crassula helmsii","50",5,"baseline"
"Crassula helmsii","51",2,"baseline"
"Crassula helmsii","7",5,"baseline"
"Crassula helmsii","8",3,"baseline"
"Crassula helmsii","9",9,"baseline"
"Elodea densa","22",2,"baseline"
"Elodea densa","33",2,"baseline"
"Elodea densa","37",1,"baseline"
"Elodea densa","54",2,"baseline"
"Erythranthe guttata","11",3,"baseline"
"Erythranthe guttata","15",2,"baseline"
"Erythranthe guttata","16",2,"baseline"
"Erythranthe guttata","18",2,"baseline"
"Erythranthe guttata","19",1,"baseline"
"Erythranthe guttata","21",2,"baseline"
"Erythranthe guttata","23",2,"baseline"
"Erythranthe guttata","33",1,"baseline"
"Erythranthe guttata","39",2,"baseline"
"Erythranthe guttata","41",5,"baseline"
"Erythranthe guttata","42",32,"baseline"
"Erythranthe guttata","44",21,"baseline"
"Erythranthe guttata","46",1,"baseline"
"Erythranthe guttata","5",1,"baseline"
"Erythranthe guttata","50",4,"baseline"
"Erythranthe guttata","53",1,"baseline"
"Heracleum mantegazzianum","1",19,"baseline"
"Heracleum mantegazzianum","10",65,"baseline"
"Heracleum mantegazzianum","11",50,"baseline"
"Heracleum mantegazzianum","12",6,"baseline"
"Heracleum mantegazzianum","13",9,"baseline"
"Heracleum mantegazzianum","14",130,"baseline"
"Heracleum mantegazzianum","15",18,"baseline"
"Heracleum mantegazzianum","16",54,"baseline"
"Heracleum mantegazzianum","17",158,"baseline"
"Heracleum mantegazzianum","18",95,"baseline"
"Heracleum mantegazzianum","19",32,"baseline"
"Heracleum mantegazzianum","2",20,"baseline"
"Heracleum mantegazzianum","20",104,"baseline"
"Heracleum mantegazzianum","21",61,"baseline"
"Heracleum mantegazzianum","22",8,"baseline"
"Heracleum mantegazzianum","23",34,"baseline"
"Heracleum mantegazzianum","25",1,"baseline"
"Heracleum mantegazzianum","26",1,"baseline"
"Heracleum mantegazzianum","27",1,"baseline"
"Heracleum mantegazzianum","28",8,"baseline"
"Heracleum mantegazzianum","3",3,"baseline"
"Heracleum mantegazzianum","32",1,"baseline"
"Heracleum mantegazzianum","33",6,"baseline"
"Heracleum mantegazzianum","34",2,"baseline"
"Heracleum mantegazzianum","35",3,"baseline"
"Heracleum mantegazzianum","36",4,"baseline"
"Heracleum mantegazzianum","37",10,"baseline"
"Heracleum mantegazzianum","38",14,"baseline"
"Heracleum mantegazzianum","39",1,"baseline"
"Heracleum mantegazzianum","40",5,"baseline"
"Heracleum mantegazzianum","41",35,"baseline"
"Heracleum mantegazzianum","42",25,"baseline"
"Heracleum mantegazzianum","43",37,"baseline"
"Heracleum mantegazzianum","44",33,"baseline"
"Heracleum mantegazzianum","45",35,"baseline"
"Heracleum mantegazzianum","46",60,"baseline"
"Heracleum mantegazzianum","47",89,"baseline"
"Heracleum mantegazzianum","48",131,"baseline"
"Heracleum mantegazzianum","49",272,"baseline"
"Heracleum mantegazzianum","5",6,"baseline"
"Heracleum mantegazzianum","50",244,"baseline"
"Heracleum mantegazzianum","51",50,"baseline"
"Heracleum mantegazzianum","52",5,"baseline"
"Heracleum mantegazzianum","53",12,"baseline"
"Heracleum mantegazzianum","54",1,"baseline"
"Heracleum mantegazzianum","6",25,"baseline"
"Heracleum mantegazzianum","7",22,"baseline"
"Heracleum mantegazzianum","8",23,"baseline"
"Heracleum mantegazzianum","9",18,"baseline"
"Houttuynia cordata","1",1,"baseline"
"Houttuynia cordata","14",1,"baseline"
"Houttuynia cordata","2",3,"baseline"
"Houttuynia cordata","23",1,"baseline"
"Houttuynia cordata","3",1,"baseline"
"Houttuynia cordata","34",1,"baseline"
"Houttuynia cordata","36",1,"baseline"
"Houttuynia cordata","37",1,"baseline"
"Houttuynia cordata","46",2,"baseline"
"Houttuynia cordata","51",2,"baseline"
"Houttuynia cordata","7",2,"baseline"
"Houttuynia cordata","9",1,"baseline"
"Hydrocotyle ranunculoides","1",1,"baseline"
"Hydrocotyle ranunculoides","11",3,"baseline"
"Hydrocotyle ranunculoides","12",1,"baseline"
"Hydrocotyle ranunculoides","13",18,"baseline"
"Hydrocotyle ranunculoides","14",1,"baseline"
"Hydrocotyle ranunculoides","16",11,"baseline"
"Hydrocotyle ranunculoides","18",7,"baseline"
"Hydrocotyle ranunculoides","19",6,"baseline"
"Hydrocotyle ranunculoides","2",3,"baseline"
"Hydrocotyle ranunculoides","20",1,"baseline"
"Hydrocotyle ranunculoides","21",3,"baseline"
"Hydrocotyle ranunculoides","22",3,"baseline"
"Hydrocotyle ranunculoides","23",50,"baseline"
"Hydrocotyle ranunculoides","25",2,"baseline"
"Hydrocotyle ranunculoides","27",2,"baseline"
"Hydrocotyle ranunculoides","28",16,"baseline"
"Hydrocotyle ranunculoides","29",1,"baseline"
"Hydrocotyle ranunculoides","31",1,"baseline"
"Hydrocotyle ranunculoides","35",1,"baseline"
"Hydrocotyle ranunculoides","36",1,"baseline"
"Hydrocotyle ranunculoides","37",4,"baseline"
"Hydrocotyle ranunculoides","39",1,"baseline"
"Hydrocotyle ranunculoides","40",1,"baseline"
"Hydrocotyle ranunculoides","42",1,"baseline"
"Hydrocotyle ranunculoides","46",1,"baseline"
"Hydrocotyle ranunculoides","49",3,"baseline"
"Hydrocotyle ranunculoides","50",2,"baseline"
"Hydrocotyle ranunculoides","51",9,"baseline"
"Hydrocotyle ranunculoides","6",3,"baseline"
"Hydrocotyle ranunculoides","7",8,"baseline"
"Hydrocotyle ranunculoides","8",1,"baseline"
"Hydrocotyle ranunculoides","9",22,"baseline"
"Impatiens glandulifera","1",187,"baseline"
"Impatiens glandulifera","10",59,"baseline"
"Impatiens glandulifera","11",297,"baseline"
"Impatiens glandulifera","12",312,"baseline"
"Impatiens glandulifera","13",246,"baseline"
"Impatiens glandulifera","14",8,"baseline"
"Impatiens glandulifera","15",235,"baseline"
"Impatiens glandulifera","16",41,"baseline"
"Impatiens glandulifera","17",97,"baseline"
"Impatiens glandulifera","18",51,"baseline"
"Impatiens glandulifera","19",10,"baseline"
"Impatiens glandulifera","2",68,"baseline"
"Impatiens glandulifera","20",26,"baseline"
"Impatiens glandulifera","21",141,"baseline"
"Impatiens glandulifera","22",11,"baseline"
"Impatiens glandulifera","23",246,"baseline"
"Impatiens glandulifera","24",2,"baseline"
"Impatiens glandulifera","25",6,"baseline"
"Impatiens glandulifera","26",45,"baseline"
"Impatiens glandulifera","27",31,"baseline"
"Impatiens glandulifera","28",89,"baseline"
"Impatiens glandulifera","29",5,"baseline"
"Impatiens glandulifera","3",35,"baseline"
"Impatiens glandulifera","30",3,"baseline"
"Impatiens glandulifera","31",1,"baseline"
"Impatiens glandulifera","32",21,"baseline"
"Impatiens glandulifera","33",23,"baseline"
"Impatiens glandulifera","34",13,"baseline"
"Impatiens glandulifera","35",28,"baseline"
"Impatiens glandulifera","36",103,"baseline"
"Impatiens glandulifera","37",36,"baseline"
"Impatiens glandulifera","38",164,"baseline"
"Impatiens glandulifera","39",90,"baseline"
"Impatiens glandulifera","40",97,"baseline"
"Impatiens glandulifera","41",156,"baseline"
"Impatiens glandulifera","42",65,"baseline"
"Impatiens glandulifera","43",23,"baseline"
"Impatiens glandulifera","44",35,"baseline"
"Impatiens glandulifera","46",19,"baseline"
"Impatiens glandulifera","47",69,"baseline"
"Impatiens glandulifera","48",12,"baseline"
"Impatiens glandulifera","49",68,"baseline"
"Impatiens glandulifera","5",2,"baseline"
"Impatiens glandulifera","50",139,"baseline"
"Impatiens glandulifera","51",291,"baseline"
"Impatiens glandulifera","52",22,"baseline"
"Impatiens glandulifera","53",225,"baseline"
"Impatiens glandulifera","54",31,"baseline"
"Impatiens glandulifera","55",29,"baseline"
"Impatiens glandulifera","6",116,"baseline"
"Impatiens glandulifera","7",128,"baseline"
"Impatiens glandulifera","8",147,"baseline"
"Impatiens glandulifera","9",48,"baseline"
"Koenigia polystachya","2",1,"baseline"
"Koenigia polystachya","21",2,"baseline"
"Koenigia polystachya","42",1,"baseline"
"Lagarosiphon major","10",1,"baseline"
"Lagarosiphon major","35",1,"baseline"
"Lagarosiphon major","44",1,"baseline"
"Lagarosiphon major","54",2,"baseline"
"Ludwigia grandiflora","15",20,"baseline"
"Ludwigia grandiflora","17",1,"baseline"
"Ludwigia grandiflora","18",57,"baseline"
"Ludwigia grandiflora","19",19,"baseline"
"Ludwigia grandiflora","2",5,"baseline"
"Ludwigia grandiflora","20",2,"baseline"
"Ludwigia grandiflora","21",9,"baseline"
"Ludwigia grandiflora","22",3,"baseline"
"Ludwigia grandiflora","23",34,"baseline"
"Ludwigia grandiflora","25",21,"baseline"
"Ludwigia grandiflora","27",1,"baseline"
"Ludwigia grandiflora","31",8,"baseline"
"Ludwigia grandiflora","33",2,"baseline"
"Ludwigia grandiflora","35",1,"baseline"
"Ludwigia grandiflora","39",1,"baseline"
"Ludwigia grandiflora","46",1,"baseline"
"Ludwigia grandiflora","50",31,"baseline"
"Ludwigia grandiflora","51",1,"baseline"
"Ludwigia grandiflora","53",11,"baseline"
"Ludwigia grandiflora","54",3,"baseline"
"Ludwigia grandiflora","6",2,"baseline"
"Ludwigia grandiflora","7",2,"baseline"
"Ludwigia grandiflora","8",1,"baseline"
"Ludwigia grandiflora","9",1,"baseline"
"Ludwigia peploides","7",1,"baseline"
"Lysichiton americanus","12",1,"baseline"
"Lysichiton americanus","17",2,"baseline"
"Lysichiton americanus","19",2,"baseline"
"Lysichiton americanus","20",1,"baseline"
"Lysichiton americanus","29",1,"baseline"
"Lysichiton americanus","36",4,"baseline"
"Lysichiton americanus","37",1,"baseline"
"Lysichiton americanus","41",3,"baseline"
"Lysichiton americanus","44",2,"baseline"
"Lysichiton americanus","46",1,"baseline"
"Lysichiton americanus","47",1,"baseline"
"Lysichiton americanus","49",14,"baseline"
"Lysichiton americanus","5",1,"baseline"
"Lysichiton americanus","51",4,"baseline"
"Lysichiton americanus","6",3,"baseline"
"Lysichiton americanus","7",1,"baseline"
"Lysichiton americanus","8",6,"baseline"
"Lysichiton americanus","9",2,"baseline"
"Myriophyllum aquaticum","1",1,"baseline"
"Myriophyllum aquaticum","10",2,"baseline"
"Myriophyllum aquaticum","11",1,"baseline"
"Myriophyllum aquaticum","14",6,"baseline"
"Myriophyllum aquaticum","19",9,"baseline"
"Myriophyllum aquaticum","2",10,"baseline"
"Myriophyllum aquaticum","21",3,"baseline"
"Myriophyllum aquaticum","22",19,"baseline"
"Myriophyllum aquaticum","23",52,"baseline"
"Myriophyllum aquaticum","24",7,"baseline"
"Myriophyllum aquaticum","25",2,"baseline"
"Myriophyllum aquaticum","27",1,"baseline"
"Myriophyllum aquaticum","32",1,"baseline"
"Myriophyllum aquaticum","33",2,"baseline"
"Myriophyllum aquaticum","35",1,"baseline"
"Myriophyllum aquaticum","37",1,"baseline"
"Myriophyllum aquaticum","38",1,"baseline"
"Myriophyllum aquaticum","39",1,"baseline"
"Myriophyllum aquaticum","4",1,"baseline"
"Myriophyllum aquaticum","40",3,"baseline"
"Myriophyllum aquaticum","41",1,"baseline"
"Myriophyllum aquaticum","42",26,"baseline"
"Myriophyllum aquaticum","43",1,"baseline"
"Myriophyllum aquaticum","46",2,"baseline"
"Myriophyllum aquaticum","47",20,"baseline"
"Myriophyllum aquaticum","48",2,"baseline"
"Myriophyllum aquaticum","51",9,"baseline"
"Myriophyllum aquaticum","53",6,"baseline"
"Myriophyllum aquaticum","54",2,"baseline"
"Myriophyllum aquaticum","55",1,"baseline"
"Myriophyllum aquaticum","6",1,"baseline"
"Myriophyllum aquaticum","7",2,"baseline"
"Myriophyllum aquaticum","8",2,"baseline"
"Petasites japonicus","14",1,"baseline"
"Petasites japonicus","21",2,"baseline"
"Petasites japonicus","43",1,"baseline"
"Petasites japonicus","44",2,"baseline"
"Petasites japonicus","48",5,"baseline"
"Petasites japonicus","49",1,"baseline"
"Petasites japonicus","51",1,"baseline"
"Petasites japonicus","6",4,"baseline"
"Petasites japonicus","8",3,"baseline"
"Petasites japonicus","9",1,"baseline"
"Pontederia cordata","10",6,"baseline"
"Pontederia cordata","12",1,"baseline"
"Pontederia cordata","19",6,"baseline"
"Pontederia cordata","2",3,"baseline"
"Pontederia cordata","21",3,"baseline"
"Pontederia cordata","23",1,"baseline"
"Pontederia cordata","26",1,"baseline"
"Pontederia cordata","29",1,"baseline"
"Pontederia cordata","3",2,"baseline"
"Pontederia cordata","30",1,"baseline"
"Pontederia cordata","33",1,"baseline"
"Pontederia cordata","34",4,"baseline"
"Pontederia cordata","35",1,"baseline"
"Pontederia cordata","37",6,"baseline"
"Pontederia cordata","4",3,"baseline"
"Pontederia cordata","44",1,"baseline"
"Pontederia cordata","47",3,"baseline"
"Pontederia cordata","49",1,"baseline"
"Pontederia cordata","50",9,"baseline"
"Pontederia cordata","51",2,"baseline"
"Pontederia cordata","53",1,"baseline"
"Pontederia cordata","7",4,"baseline"
"Pontederia cordata","8",2,"baseline"
"Pontederia cordata","9",1,"baseline"
"Procambarus acutus","51",1,"baseline"
"Procambarus clarkii","21",3,"baseline"
"Procambarus clarkii","24",2,"baseline"
"Procambarus clarkii","25",8,"baseline"
"Procambarus clarkii","7",3,"baseline"
"Saururus cernuus","10",1,"baseline"
"Saururus cernuus","37",1,"baseline"
"Saururus cernuus","46",1,"baseline"
"Saururus cernuus","7",1,"baseline"
"Zizania latifolia","2",1,"baseline"
"Zizania latifolia","42",18,"baseline"
"Zizania latifolia","9",1,"baseline"
