"Id","n_CellsHighEffort","n_TotalCells","SurveillanceEffortRel"
7,1,116,0.00862068965517241
9,1,70,0.0142857142857143
10,13,85,0.152941176470588
11,29,112,0.258928571428571
12,13,63,0.206349206349206
13,30,56,0.535714285714286
14,23,82,0.280487804878049
15,31,41,0.75609756097561
16,39,66,0.590909090909091
17,39,48,0.8125
18,30,74,0.405405405405405
19,35,94,0.372340425531915
20,54,101,0.534653465346535
21,22,114,0.192982456140351
22,20,65,0.307692307692308
23,13,175,0.0742857142857143
35,1,39,0.0256410256410256
36,6,42,0.142857142857143
37,2,83,0.0240963855421687
38,12,113,0.106194690265487
39,11,44,0.25
40,25,54,0.462962962962963
41,33,70,0.471428571428571
42,13,56,0.232142857142857
43,24,47,0.51063829787234
44,35,72,0.486111111111111
45,8,34,0.235294117647059
46,40,90,0.444444444444444
47,13,41,0.317073170731707
48,11,71,0.154929577464789
49,20,85,0.235294117647059
50,11,65,0.169230769230769
51,19,89,0.213483146067416
52,1,77,0.012987012987013
53,16,151,0.105960264900662
54,3,33,0.0909090909090909
