acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
8819880,"Faxonius kentuckiensis (Rhoades, 1944)",14,Cfa,8,8,1
2227217,"Procambarus suttkusi Hobbs, 1953",14,Cfa,18,18,1
2227116,"Fallicambarus uhleri (Faxon, 1884)",14,Cfa,77,77,1
2227394,"Cambarus graysoni Faxon, 1914",14,Cfa,27,27,1
2227166,"Procambarus troglodytes (Le Conte, 1856)",14,Cfa,344,344,1
8890751,"Faxonius erichsonianus (Faxon, 1898)",14,Cfa,79,79,1
2227155,"Procambarus penni Hobbs, 1951",14,Cfa,16,16,1
8884958,"Fallicambarus tenuis (Hobbs, 1950)",14,Cfa,16,16,1
2227340,"Cambarus dubius Faxon, 1884",14,Cfa,105,105,1
2227122,"Distocambarus hunteri Fitzpatrick & Eversole, 1997",14,Cfa,6,6,1
9124482,"Faxonius ozarkae (Williams, 1952)",14,Cfa,42,42,1
2227367,"Cambarus maculatus Hobbs & Pflieger, 1988",14,Cfa,21,21,1
2227417,"Hobbseus orconectoides Fitzpatrick & Payne, 1968",14,Cfa,21,21,1
8806742,"Faxonius palmeri longimanus (Faxon, 1898)",14,Cfa,128,128,1
9006690,"Faxonius forceps (Faxon, 1884)",14,Cfa,26,26,1
2227338,"Cambarus striatus Hay, 1902",14,Cfa,562,562,1
2227224,"Procambarus versutus (Hagen, 1870)",14,Cfa,206,206,1
2227189,"Procambarus plumimanus Hobbs & Walton, 1958",14,Cfa,50,50,1
9001095,"Faxonius chickasawae (Cooper & Hobbs, 1980)",14,Cfa,15,15,1
8781365,"Faxonius putnami (Faxon, 1884)",14,Cfa,76,76,1
8931048,"Faxonius compressus (Faxon, 1884)",14,Cfa,49,49,1
2227183,"Procambarus hirsutus Hobbs, 1958",14,Cfa,58,58,1
8840693,"Faxonius nais (Faxon, 1885)",14,Cfa,52,56,0.9285714285714286
2227312,"Procambarus barbatus (Faxon, 1890)",14,Cfa,38,38,1
2227321,"Cambarus howardi Hobbs & Hall, 1969",14,Cfa,98,98,1
2227425,"Faxonella clypeata (Hay, 1899)",14,Cfa,81,81,1
9073955,"Faxonius longidigitus (Faxon, 1898)",14,Cfa,19,19,1
2227213,"Procambarus dupratzii Penn, 1953",14,Cfa,21,21,1
2227278,"Procambarus chacei Hobbs, 1958",14,Cfa,31,31,1
2227171,"Procambarus epicyrtus Hobbs, 1958",14,Cfa,12,12,1
2227121,"Distocambarus carlsoni Hobbs, 1983",14,Cfa,34,34,1
2227241,"Procambarus viaeviridis (Faxon, 1914)",14,Cfa,26,26,1
2227378,"Cambarus halli Hobbs, 1968",14,Cfa,89,90,0.9888888888888889
2227126,"Distocambarus devexus (Hobbs, 1981)",14,Cfa,5,5,1
8893074,"Creaserinus gilpini (Hobbs & Robison, 1989)",14,Cfa,2,2,1
2227434,"Cambarellus puer Hobbs, 1945",14,Cfa,50,50,1
2227146,"Procambarus lophotus Hobbs & Walton, 1960",14,Cfa,39,39,1
9059568,"Faxonius validus (Faxon, 1914)",14,Cfa,78,78,1
8917374,"Faxonius punctimanus Creaser, 1933",14,Cfa,40,40,1
6283020,"Procambarus vioscai paynei Fitzpatrick, 1990",14,Cfa,36,36,1
2227323,"Cambarus strigosus Hobbs, 1981",14,Cfa,11,11,1
2227339,"Cambarus brachydactylus Hobbs, 1953",14,Cfa,8,8,1
2227252,"Procambarus nigrocinctus Hobbs, 1990",14,Cfa,3,3,1
2227429,"Cambarellus shufeldtii (Faxon, 1884)",14,Cfa,49,49,1
9015147,"Faxonius alabamensis (Faxon, 1884)",14,Cfa,42,42,1
2227142,"Procambarus marthae Hobbs, 1975",14,Cfa,7,7,1
2227272,"Procambarus natchitochae Penn, 1953",14,Cfa,19,19,1
2227393,"Cambarus coosae Hobbs, 1981",14,Cfa,79,79,1
2227175,"Procambarus paeninsulanus (Faxon, 1914)",14,Cfa,75,75,1
2227361,"Cambarus rusticiformis Rhoades, 1944",14,Cfa,74,74,1
2227149,"Procambarus howellae Hobbs, 1952",14,Cfa,26,26,1
8930656,"Faxonius immunis (Hagen, 1870)",14,Cfa,129,219,0.589041095890411
2227295,"Procambarus incilis Penn, 1962",14,Cfa,20,21,0.9523809523809523
2227163,"Procambarus curdi Reimer, 1975",14,Cfa,18,18,1
2227352,"Cambarus distans Rhoades, 1944",14,Cfa,38,38,1
2227374,"Cambarus longulus Girard, 1852",14,Cfa,167,167,1
2227011,"Orconectes jeffersoni Rhoades, 1944",14,Cfa,11,11,1
2227148,"Procambarus caritus Hobbs, 1981",14,Cfa,14,14,1
2227280,"Procambarus blandingii (Harlan, 1830)",14,Cfa,205,208,0.9855769230769231
10291759,"Lacunicambarus acanthura (Hobbs, 1981)",14,Cfa,36,36,1
2227390,"Cambarus fasciatus Hobbs, 1981",14,Cfa,16,16,1
2227123,"Distocambarus crockeri Hobbs & Carlson, 1983",14,Cfa,43,43,1
7194592,Orconectes meeki meeki,14,Cfa,14,14,1
4648465,"Euastacus gamilaroi Morgan, 1997",14,Cfa,20,28,0.7142857142857143
4648497,"Euastacus armatus (von Martens, 1866)",14,Cfa,289,593,0.4873524451939292
4648448,"Euastacus yarraensis (McCoy, 1888)",14,Cfa,109,209,0.5215311004784688
4648523,"Engaeus phyllocercus Smith & Schuster, 1913",14,Cfa,3,5,0.6
4648546,"Engaeus orientalis Clark, 1941",14,Cfa,6,11,0.5454545454545454
4648539,"Engaeus quadrimanus Clark, 1936",14,Cfa,7,9,0.7777777777777778
4648550,"Engaeus sericatus Clark, 1936",15,Cfb,15,57,0.2631578947368421
4648495,"Euastacus bidawalus Morgan, 1986",14,Cfa,12,23,0.5217391304347826
5789955,"Astacopsis gouldi Clark, 1936",15,Cfb,754,931,0.8098818474758325
5789954,"Astacopsis tricornis Clark, 1936",15,Cfb,65,65,1
4648518,"Ombrastacoides pulcher (Riek, 1967)",15,Cfb,291,295,0.9864406779661017
4648505,"Spinastacoides inermis (Clark, 1939)",15,Cfb,220,220,1
4648558,"Engaeus spinicaudatus Horwitz, 1990",15,Cfb,80,80,1
4648555,"Engaeus martigener Horwitz, 1990",15,Cfb,9,9,1
4648544,"Engaeus yabbimunna Horwitz, 1994",15,Cfb,17,75,0.22666666666666666
4648534,"Engaeus orramakunna Horwitz, 1990",15,Cfb,46,78,0.5897435897435898
4648515,"Ombrastacoides huonensis Hansen & Richardson, 2006",15,Cfb,4,4,1
4648549,"Engaeus mairener Horwitz, 1990",15,Cfb,13,28,0.4642857142857143
4648527,"Engaeus tayatea Horwitz, 1990",15,Cfb,26,28,0.9285714285714286
4648552,"Engaeus cunicularius (Erichson, 1846)",15,Cfb,11,38,0.2894736842105263
8896233,"Faxonius texanus (Johnson, 2010)",14,Cfa,6,6,1
2227328,"Cambarus chaugaensis Prins & Hobbs, 1972",14,Cfa,51,51,1
5789993,"Cambarus laconensis Buhay & Crandall, 2009",14,Cfa,1,1,1
8879892,"Faxonius propinquus (Girard, 1852)",14,Cfa,192,549,0.34972677595628415
2227332,"Cambarus scotti Hobbs, 1981",14,Cfa,30,30,1
2227396,"Cambarus speciosus Hobbs, 1981",14,Cfa,8,8,1
8899029,"Cambarus callainus Thoma, Loughman & Fetzner, 2014",14,Cfa,2,2,1
4648559,"Engaeus urostrictus Riek, 1969",14,Cfa,7,9,0.7777777777777778
4648554,"Engaeus karnanga Horwitz, 1990",14,Cfa,3,5,0.6
5789995,"Procambarus pentastylus Walls & Black, 2008",14,Cfa,4,4,1
8848320,"Faxonius neglectus (Faxon, 1885)",14,Cfa,64,111,0.5765765765765766
9059974,"Faxonius lancifer (Hagen, 1870)",14,Cfa,31,31,1
4648466,"Euastacus polysetosus Riek, 1951",14,Cfa,4,19,0.21052631578947367
10784309,"Cambarus carinirostris Faxon, 1914",14,Cfa,34,34,1
8882624,"Faxonius mirus (Ortmann, 1931)",14,Cfa,15,15,1
8864396,"Cambarus clairitae Schuster & Taylor, 2016",14,Cfa,5,5,1
2227424,"Faxonella blairi Hayes & Reimer, 1977",14,Cfa,5,5,1
9004260,"Creaserinus danielae (Hobbs, 1975)",14,Cfa,9,10,0.9
2227391,"Cambarus longirostris Faxon, 1885",14,Cfa,110,110,1
2227232,"Procambarus acutissimus (Girard, 1852)",14,Cfa,95,95,1
2227144,"Procambarus pearsei (Creaser, 1934)",14,Cfa,67,67,1
2227210,"Procambarus lecontei (Hagen, 1870)",14,Cfa,18,18,1
8786158,"Faxonius etnieri (Bouchard & Bouchard, 1976)",14,Cfa,15,15,1
2227305,"Procambarus hybus Hobbs & Walton, 1957",14,Cfa,24,24,1
2227254,"Procambarus pubescens (Faxon, 1884)",14,Cfa,30,30,1
8738286,"Faxonius acares (Fitzpatrick, 1965)",14,Cfa,15,15,1
7039998,Orconectes sanbornii sanbornii,14,Cfa,21,21,1
6283041,"Orconectes sanbornii erismophorous Hobbs & Fitzpatrick, 1962",14,Cfa,2,2,1
8606000,"Cambarus pauleyi Loughman, Thoma, Fetzner & Stocker, 2015",14,Cfa,1,1,1
2227154,"Procambarus pallidus (Hobbs, 1940)",14,Cfa,6,7,0.8571428571428571
2227214,"Procambarus hayi (Faxon, 1884)",14,Cfa,80,80,1
2227253,"Procambarus talpoides Hobbs, 1981",14,Cfa,34,34,1
8721209,"Faxonius juvenilis (Hagen, 1870)",14,Cfa,47,47,1
2227261,"Procambarus geminus Hobbs, 1975",14,Cfa,13,13,1
8987564,"Faxonius jonesi (Fitzpatrick, 1992)",14,Cfa,17,17,1
2227419,"Hobbseus prominens (Hobbs, 1966)",14,Cfa,10,10,1
6283013,"Procambarus pubischelae deficiens Hobbs, 1981",14,Cfa,9,9,1
2227440,"Cambarellus schmitti Hobbs, 1942",14,Cfa,6,6,1
2227433,"Cambarellus lesliei Fitzpatrick & Laning, 1976",14,Cfa,8,8,1
2227191,"Procambarus raneyi Hobbs, 1953",14,Cfa,50,50,1
2227186,"Procambarus enoplosternum Hobbs, 1947",14,Cfa,60,60,1
6283029,Orconectes neglectus neglectus,14,Cfa,50,66,0.7575757575757576
7194599,Procambarus rogersi rogersi,14,Cfa,1,1,1
2227392,"Cambarus reflexus Hobbs, 1981",14,Cfa,43,43,1
2227350,"Cambarus spicatus Hobbs, 1956",14,Cfa,37,37,1
2227238,"Procambarus ablusus Penn, 1963",14,Cfa,9,9,1
2227266,"Procambarus parasimulans Hobbs & Robison, 1982",14,Cfa,33,33,1
9138579,"Creaserinus byersi (Hobbs, 1941)",14,Cfa,15,15,1
2227314,"Barbicambarus cornutus (Faxon, 1884)",14,Cfa,13,13,1
2227111,"Fallicambarus strawni (Reimer, 1966)",14,Cfa,15,15,1
2227138,"Procambarus evermanni (Faxon, 1890)",14,Cfa,11,11,1
2227380,"Cambarus sphenoides Hobbs, 1968",14,Cfa,62,62,1
2227302,"Procambarus ancylus Hobbs, 1958",14,Cfa,72,72,1
8861325,"Faxonius theaphionensis (Simon, Timm & Morris, 2005)",14,Cfa,1,1,1
2227371,"Cambarus angularis Hobbs & Bouchard, 1994",14,Cfa,34,34,1
2227258,"Procambarus vioscai Penn, 1946",14,Cfa,29,29,1
2227303,"Procambarus lunzi (Hobbs, 1940)",14,Cfa,19,19,1
9101897,"Faxonius bisectus (Rhoades, 1944)",14,Cfa,2,2,1
2227205,"Procambarus lepidodactylus Hobbs, 1947",14,Cfa,16,16,1
2227389,"Cambarus carolinus (Erichson, 1846)",14,Cfa,40,40,1
8814664,"Faxonius luteus Creaser, 1933",14,Cfa,49,66,0.7424242424242424
8816883,"Cambarus stockeri Thoma, 2011",14,Cfa,3,3,1
2227335,"Cambarus crinipes Bouchard, 1973",14,Cfa,18,18,1
