acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
4417555,Austropotamobius torrentium,26,Dfb,459,478,0.9602510460251046
2226990,Pacifastacus leniusculus,9,Csb,628,20113,0.031223586734947545
2227265,Procambarus steigmani,14,Cfa,29,29,1
10047756,Lacunicambarus ludovicianus,14,Cfa,112,112,1
2227300,Procambarus clarkii,7,BSk,1114,9032,0.1233392382639504
2227300,Procambarus clarkii,4,BWh,171,9032,0.018932683790965455
2227300,Procambarus clarkii,14,Cfa,1728,9032,0.1913197519929141
2227381,Cambarus bartonii,26,Dfb,280,1028,0.2723735408560311
8979506,Faxonius rusticus,25,Dfa,1305,3399,0.38393645189761694
2227364,Cambarus reduncus,14,Cfa,170,170,1
4417558,Cherax destructor,15,Cfb,730,1822,0.40065861690450055
2227300,Procambarus clarkii,9,Csb,488,9032,0.054030115146147036
2227300,Procambarus clarkii,8,Csa,1344,9032,0.1488042515500443
8930656,Faxonius immunis,26,Dfb,104,202,0.5148514851485149
5178536,Paranephrops planifrons,15,Cfb,279,280,0.9964285714285714
8971201,Faxonius virilis,25,Dfa,1106,2618,0.42245989304812837
2226990,Pacifastacus leniusculus,15,Cfb,13228,20113,0.6576840849202009
10898324,Lacunicambarus freudensteini,14,Cfa,7,8,0.875
4312658,Austropotamobius pallipes,15,Cfb,15053,16549,0.9096017886277117
2227300,Procambarus clarkii,15,Cfb,3489,9032,0.3862931798051373
2227208,Procambarus simulans,14,Cfa,96,117,0.8205128205128205
8971201,Faxonius virilis,14,Cfa,369,2618,0.14094728800611153
8971201,Faxonius virilis,26,Dfb,557,2618,0.21275783040488924
8971201,Faxonius virilis,7,BSk,201,2618,0.07677616501145913
8971201,Faxonius virilis,8,Csa,28,2618,0.0106951871657754
4312658,Austropotamobius pallipes,27,Dfc,37,16549,0.00223578463955526
4648524,Engaeus hemicirratulus,15,Cfb,15,15,1
8971201,Faxonius virilis,27,Dfc,39,2618,0.014896867838044309
2227262,Procambarus gracilis,25,Dfa,105,121,0.8677685950413223
2227363,Cambarus cracens,14,Cfa,5,5,1
2227289,Procambarus acutus,25,Dfa,247,1954,0.12640736949846468
9062851,Creaserinus fodiens,14,Cfa,178,260,0.6846153846153846
2227405,Cambarus latimanus,14,Cfa,1000,1001,0.999000999000999
2227300,Procambarus clarkii,6,BSh,272,9032,0.030115146147032774
10391449,Lacunicambarus diogenes,25,Dfa,42,385,0.10909090909090909
2226990,Pacifastacus leniusculus,26,Dfb,5411,20113,0.269029980609556
