"species","RBU","state","n_observations","Occupancy"
"Aponogeton distachyos","Dijle - Dyle","baseline",1,1
"Aponogeton distachyos","Dijle - Dyle","current",2,2
"Aponogeton distachyos","Zenne - Senne","current",2,2
"Crassula helmsii","Dijle - Dyle","baseline",58,22
"Crassula helmsii","Dijle - Dyle","current",53,21
"Crassula helmsii","Zenne - Senne","baseline",14,8
"Crassula helmsii","Zenne - Senne","current",22,16
"Elodea densa","Dijle - Dyle","baseline",2,2
"Elodea densa","Mark - Marcq","current",2,1
"Elodea densa","Zenne - Senne","current",3,2
"Erythranthe guttata","Dijle - Dyle","baseline",10,9
"Erythranthe guttata","Dijle - Dyle","current",5,5
"Erythranthe guttata","Mark - Marcq","baseline",1,1
"Erythranthe guttata","Zenne - Senne","baseline",47,12
"Erythranthe guttata","Zenne - Senne","current",28,5
"Heracleum mantegazzianum","Dijle - Dyle","baseline",544,158
"Heracleum mantegazzianum","Dijle - Dyle","current",481,165
"Heracleum mantegazzianum","Mark - Marcq","baseline",11,11
"Heracleum mantegazzianum","Mark - Marcq","current",9,8
"Heracleum mantegazzianum","Zenne - Senne","baseline",695,190
"Heracleum mantegazzianum","Zenne - Senne","current",536,141
"Houttuynia cordata","Dijle - Dyle","current",11,11
"Houttuynia cordata","Zenne - Senne","baseline",4,4
"Houttuynia cordata","Zenne - Senne","current",3,3
"Hydrocotyle ranunculoides","Dijle - Dyle","baseline",101,37
"Hydrocotyle ranunculoides","Dijle - Dyle","current",28,14
"Hydrocotyle ranunculoides","Zenne - Senne","baseline",26,13
"Hydrocotyle ranunculoides","Zenne - Senne","current",19,11
"Impatiens glandulifera","Dijle - Dyle","baseline",2214,359
"Impatiens glandulifera","Dijle - Dyle","current",1503,237
"Impatiens glandulifera","Mark - Marcq","baseline",44,20
"Impatiens glandulifera","Mark - Marcq","current",252,38
"Impatiens glandulifera","Zenne - Senne","baseline",693,261
"Impatiens glandulifera","Zenne - Senne","current",1205,210
"Koenigia polystachya","Dijle - Dyle","baseline",1,1
"Koenigia polystachya","Dijle - Dyle","current",2,2
"Koenigia polystachya","Zenne - Senne","baseline",1,1
"Lagarosiphon major","Dijle - Dyle","current",1,1
"Lagarosiphon major","Mark - Marcq","current",2,1
"Lagarosiphon major","Zenne - Senne","baseline",1,1
"Lagarosiphon major","Zenne - Senne","current",1,1
"Ludwigia grandiflora","Dijle - Dyle","baseline",116,31
"Ludwigia grandiflora","Dijle - Dyle","current",43,23
"Ludwigia grandiflora","Mark - Marcq","baseline",3,3
"Ludwigia grandiflora","Mark - Marcq","current",10,3
"Ludwigia grandiflora","Zenne - Senne","baseline",40,10
"Ludwigia grandiflora","Zenne - Senne","current",35,13
"Ludwigia peploides","Dijle - Dyle","current",1,1
"Lysichiton americanus","Dijle - Dyle","baseline",8,6
"Lysichiton americanus","Dijle - Dyle","current",10,9
"Lysichiton americanus","Zenne - Senne","baseline",11,8
"Lysichiton americanus","Zenne - Senne","current",20,11
"Myriophyllum aquaticum","Dijle - Dyle","baseline",68,33
"Myriophyllum aquaticum","Dijle - Dyle","current",52,23
"Myriophyllum aquaticum","Mark - Marcq","baseline",3,3
"Myriophyllum aquaticum","Mark - Marcq","current",4,3
"Myriophyllum aquaticum","Zenne - Senne","baseline",45,19
"Myriophyllum aquaticum","Zenne - Senne","current",43,14
"Petasites japonicus","Dijle - Dyle","baseline",7,4
"Petasites japonicus","Dijle - Dyle","current",3,3
"Petasites japonicus","Mark - Marcq","current",1,1
"Petasites japonicus","Zenne - Senne","baseline",2,1
"Petasites japonicus","Zenne - Senne","current",8,5
"Pontederia cordata","Dijle - Dyle","baseline",9,6
"Pontederia cordata","Dijle - Dyle","current",26,22
"Pontederia cordata","Mark - Marcq","current",1,1
"Pontederia cordata","Zenne - Senne","baseline",9,6
"Pontederia cordata","Zenne - Senne","current",24,15
"Procambarus acutus","Zenne - Senne","baseline",1,1
"Procambarus clarkii","Dijle - Dyle","baseline",6,3
"Procambarus clarkii","Dijle - Dyle","current",65,17
"Procambarus clarkii","Zenne - Senne","baseline",10,5
"Procambarus clarkii","Zenne - Senne","current",37,10
"Procambarus virginalis","Dijle - Dyle","current",19,3
"Saururus cernuus","Dijle - Dyle","current",2,2
"Saururus cernuus","Zenne - Senne","current",2,2
"Zizania latifolia","Dijle - Dyle","baseline",1,1
"Zizania latifolia","Dijle - Dyle","current",1,1
"Zizania latifolia","Zenne - Senne","current",23,1
