acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
5408269,Lobelia cardinalis,2,Am,97,11057,0.008772723161797957
2873807,Acorus gramineus,14,Cfa,260,434,0.5990783410138248
3188674,Rotala indica,25,Dfa,60,625,0.096
2715828,Cyperus haspan,14,Cfa,1178,4267,0.27607218186079213
5371886,Oenanthe javanica,14,Cfa,982,1737,0.565342544617156
2714156,Cyperus alternifolius,14,Cfa,56,540,0.1037037037037037
2774158,Ophiopogon japonicus,14,Cfa,1109,1401,0.7915774446823698
5408775,Lobelia sessilifolia,14,Cfa,125,397,0.3148614609571788
5415001,Limnophila sessiliflora,14,Cfa,635,776,0.8182989690721649
2865980,Blyxa japonica,14,Cfa,20,62,0.3225806451612903
3188674,Rotala indica,14,Cfa,426,625,0.6816
5298334,Iris laevigata,14,Cfa,13,225,0.057777777777777775
5415005,Limnophila aromatica,14,Cfa,87,266,0.32706766917293234
5298900,Iris ensata,25,Dfa,55,358,0.15363128491620112
2882422,Nymphaea tetragona,14,Cfa,124,1347,0.09205642167780252
2808791,Bletilla striata,14,Cfa,211,291,0.7250859106529209
5329570,Hydrilla verticillata,14,Cfa,7933,9556,0.8301590623691921
2774158,Ophiopogon japonicus,25,Dfa,107,1401,0.07637401855817273
5298900,Iris ensata,14,Cfa,65,358,0.18156424581005587
6135900,Nuphar japonicum,14,Cfa,27,68,0.39705882352941174
5298334,Iris laevigata,25,Dfa,4,225,0.017777777777777778
5415001,Limnophila sessiliflora,25,Dfa,20,776,0.02577319587628866
2873807,Acorus gramineus,25,Dfa,28,434,0.06451612903225806
2715828,Cyperus haspan,25,Dfa,94,4267,0.022029528943051324
5330776,Colocasia esculenta,14,Cfa,2243,5960,0.3763422818791946
2715828,Cyperus haspan,6,BSh,210,4267,0.04921490508554019
3086504,Anemopsis californica,4,BWh,361,2573,0.14030314807617567
2715828,Cyperus haspan,4,BWh,5,4267,0.0011717834544176236
3170959,Erythranthe cardinalis,9,Csb,901,2278,0.39552238805970147
3170959,Erythranthe cardinalis,7,BSk,135,2278,0.05926251097453907
3086504,Anemopsis californica,7,BSk,822,2573,0.31947143412359114
2713259,Isolepis nigricans,15,Cfb,32,81,0.3950617283950617
5415348,Hygrophila costata,1,Af,164,673,0.2436849925705795
5330776,Colocasia esculenta,2,Am,367,5960,0.061577181208053694
5330776,Colocasia esculenta,12,Cwb,65,5960,0.010906040268456376
6026968,Hydrocotyle leucocephala,2,Am,83,500,0.166
2651586,Ceratopteris thalictroides,2,Am,135,2071,0.06518590053114437
5303044,Thalia geniculata,1,Af,116,1835,0.06321525885558583
2715828,Cyperus haspan,2,Am,428,4267,0.10030466369814858
2716311,Cyperus papyrus,1,Af,64,1419,0.04510218463706836
5303044,Thalia geniculata,2,Am,488,1835,0.2659400544959128
2715828,Cyperus haspan,1,Af,313,4267,0.07335364424654324
2651586,Ceratopteris thalictroides,3,Aw,646,2071,0.3119266055045872
5408269,Lobelia cardinalis,3,Aw,165,11057,0.014922673419553225
6026968,Hydrocotyle leucocephala,1,Af,123,500,0.246
5303044,Thalia geniculata,3,Aw,870,1835,0.47411444141689374
5415348,Hygrophila costata,15,Cfb,90,673,0.1337295690936107
5329570,Hydrilla verticillata,1,Af,172,9556,0.01799916282963583
3172187,Micranthemum umbrosum,1,Af,14,270,0.05185185185185185
5328812,Echinodorus grisebachii,1,Af,19,70,0.2714285714285714
2651586,Ceratopteris thalictroides,1,Af,193,2071,0.09319169483341382
2715828,Cyperus haspan,15,Cfb,54,4267,0.012655261307710336
5415348,Hygrophila costata,2,Am,104,673,0.15453194650817237
6026968,Hydrocotyle leucocephala,12,Cwb,8,500,0.016
2715828,Cyperus haspan,3,Aw,1737,4267,0.4070775720646824
5328812,Echinodorus grisebachii,2,Am,21,70,0.3
5330776,Colocasia esculenta,1,Af,433,5960,0.0726510067114094
5408269,Lobelia cardinalis,1,Af,71,11057,0.006421271592656236
5329570,Hydrilla verticillata,2,Am,99,9556,0.010359983256592717
2721618,Rhynchospora colorata,3,Aw,415,1978,0.20980788675429726
2774158,Ophiopogon japonicus,1,Af,5,1401,0.0035688793718772305
3172187,Micranthemum umbrosum,3,Aw,24,270,0.08888888888888889
2713259,Isolepis nigricans,2,Am,1,81,0.012345679012345678
2716311,Cyperus papyrus,2,Am,32,1419,0.02255109231853418
5330182,Peltandra virginica,25,Dfa,588,1614,0.36431226765799257
5274875,Marsilea quadrifolia,15,Cfb,911,1506,0.6049136786188579
2650967,Bolbitis heudelotii,2,Am,28,150,0.18666666666666668
2715505,Cyperus prolifer,3,Aw,57,278,0.20503597122302158
5415005,Limnophila aromatica,2,Am,23,266,0.08646616541353383
3172187,Micranthemum umbrosum,14,Cfa,188,270,0.6962962962962963
5328834,Echinodorus grandiflorus,2,Am,29,295,0.09830508474576272
7122825,Rotala rotundifolia,12,Cwb,40,303,0.132013201320132
5328626,Aponogeton madagascariensis,1,Af,8,22,0.36363636363636365
2864584,Hydrocleys nymphoides,2,Am,25,383,0.06527415143603134
5408269,Lobelia cardinalis,14,Cfa,3660,11057,0.3310120285791806
5330776,Colocasia esculenta,3,Aw,630,5960,0.10570469798657718
6026968,Hydrocotyle leucocephala,3,Aw,75,500,0.15
2721618,Rhynchospora colorata,2,Am,179,1978,0.09049544994944388
5421019,Ludwigia glandulosa,14,Cfa,149,153,0.9738562091503268
6026968,Hydrocotyle leucocephala,14,Cfa,140,500,0.28
3152596,Hibiscus moscheutos,14,Cfa,1016,2431,0.41793500617030027
2871871,Anubias barteri,3,Aw,68,230,0.2956521739130435
5838386,Vesicularia montagnei,2,Am,8,81,0.09876543209876543
5328834,Echinodorus grandiflorus,3,Aw,87,295,0.29491525423728815
3723590,Gunnera magellanica,29,ET,259,355,0.7295774647887324
5329038,Sagittaria graminea,14,Cfa,312,732,0.4262295081967213
5290154,Phragmites karka,2,Am,13,310,0.041935483870967745
5371684,Caltha leptosepala,27,Dfc,611,1626,0.3757687576875769
2715505,Cyperus prolifer,14,Cfa,117,278,0.420863309352518
5303044,Thalia geniculata,11,Cwa,51,1835,0.02779291553133515
5371886,Oenanthe javanica,11,Cwa,126,1737,0.07253886010362694
5303044,Thalia geniculata,14,Cfa,240,1835,0.1307901907356948
5415355,Hygrophila polysperma,14,Cfa,597,736,0.811141304347826
2651586,Ceratopteris thalictroides,6,BSh,73,2071,0.035248672139063256
2864584,Hydrocleys nymphoides,1,Af,20,383,0.05221932114882506
2864584,Hydrocleys nymphoides,3,Aw,118,383,0.30809399477806787
5408269,Lobelia cardinalis,25,Dfa,3782,11057,0.3420457628651533
2713259,Isolepis nigricans,3,Aw,4,81,0.04938271604938271
5328834,Echinodorus grandiflorus,14,Cfa,103,295,0.34915254237288135
2713259,Isolepis nigricans,9,Csb,2,81,0.024691358024691357
5408269,Lobelia cardinalis,12,Cwb,146,11057,0.013204304965180429
2714156,Cyperus alternifolius,3,Aw,155,540,0.28703703703703703
6434985,Nuphar advena,25,Dfa,382,1997,0.19128693039559339
5330733,Orontium aquaticum,14,Cfa,600,761,0.7884362680683311
5296015,Sisyrinchium angustifolium,25,Dfa,415,1831,0.22665210267613325
2716311,Cyperus papyrus,12,Cwb,46,1419,0.03241719520789288
2713259,Isolepis nigricans,29,ET,18,81,0.2222222222222222
5303044,Thalia geniculata,25,Dfa,2,1835,0.0010899182561307902
5371684,Caltha leptosepala,7,BSk,16,1626,0.00984009840098401
2715505,Cyperus prolifer,11,Cwa,20,278,0.07194244604316546
5328774,Echinodorus cordifolius,14,Cfa,213,273,0.7802197802197802
8330991,Ceratopteris cornuta,2,Am,11,81,0.13580246913580246
5408269,Lobelia cardinalis,15,Cfb,108,11057,0.009767568056434838
2715828,Cyperus haspan,12,Cwb,50,4267,0.011717834544176237
2701978,Juncus repens,14,Cfa,188,211,0.8909952606635071
2716311,Cyperus papyrus,9,Csb,94,1419,0.06624383368569416
2721618,Rhynchospora colorata,14,Cfa,1153,1978,0.582912032355915
5298900,Iris ensata,22,Dwb,64,358,0.1787709497206704
5329640,Limnobium spongia,3,Aw,4,214,0.018691588785046728
5415348,Hygrophila costata,3,Aw,103,673,0.15304606240713226
3723590,Gunnera magellanica,15,Cfb,42,355,0.11830985915492957
5298019,Iris versicolor,15,Cfb,112,3990,0.028070175438596492
5330733,Orontium aquaticum,26,Dfb,80,761,0.10512483574244415
2716311,Cyperus papyrus,8,Csa,208,1419,0.14658210007047218
2746005,Hesperantha coccinea,15,Cfb,139,356,0.3904494382022472
5330776,Colocasia esculenta,9,Csb,256,5960,0.042953020134228186
2859976,Zephyranthes candida,14,Cfa,289,678,0.42625368731563423
