species;RBU;baseline;current;target
Heracleum mantegazzianum;Dijle - Dyle;21;22;≤ 17
Heracleum mantegazzianum;Mark - Marcq;3;1;≤ 2
Heracleum mantegazzianum;Zenne - Senne;22;22;≤ 21
Hydrocotyle ranunculoides;Dijle - Dyle;16;13;≤ 5
Hydrocotyle ranunculoides;Mark - Marcq;0;0;≤ 1
Hydrocotyle ranunculoides;Zenne - Senne;8;10;≤ 6
Impatiens glandulifera;Dijle - Dyle;22;21;≤ 17
Impatiens glandulifera;Mark - Marcq;3;3;≤ 2
Impatiens glandulifera;Zenne - Senne;28;27;≤ 21
Ludwigia grandiflora;Dijle - Dyle;10;11;≤ 5
Ludwigia grandiflora;Mark - Marcq;2;2;≤ 1
Ludwigia grandiflora;Zenne - Senne;6;8;≤ 6
Myriophyllum aquaticum;Dijle - Dyle;12;12;≤ 5
Myriophyllum aquaticum;Mark - Marcq;2;2;≤ 1
Myriophyllum aquaticum;Zenne - Senne;13;14;≤ 6
