ID,key,species
1,5789948,Astacoides betsileoensis
2,5789950,Astacoides caldwelli
3,5789949,Astacoides crosnieri
5,5789947,Astacoides madagascarensis
9,5799523,Astacopsis franklini
12,4417551,Pontastacus leptodactylus
13,4417550,Pontastacus pachypus
17,5789969,Cambaroides japonicus
33,5789969,Cambaroides japonicus
34,5789970,Cambaroides schrenckii
35,5789971,Cambaroides similis
36,2227376,Cambarus acanthura
38,7194590,Cambarus bartonii
39,2227329,Cambarus batchi
42,2227399,Cambarus carinirostris
55,2227362,Cambarus diogenes
58,2227406,Cambarus elkensis
69,2227353,Cambarus hubrichti
75,2227334,Cambarus ludovicianus
81,5789986,Lacunicambarus polychromatus
92,2227384,Cambarus thomai
95,8940788,Cherax albertisii
96,4648606,Cherax albidus
100,10093989,Cherax gherardiae
102,5789936,Cherax holthuisi
104,5789934,Cherax lorentzi
105,5789932,Cherax monticola
106,5789933,Cherax papuanus
107,5789930,Cherax peknyi
153,4648570,Engaewa reducta
154,4648572,Engaewa similis
155,4648571,Engaewa subcoerulea
156,4648573,Engaewa walpolea
163,4648445,Euastacus spinifer
178,5789939,Euastacus maccai
195,2227113,Fallicambarus caesius
196,2227114,Fallicambarus fodiens
197,2227097,Fallicambarus gilpini
198,2227106,Fallicambarus gordoni
203,4648578,Geocherax tasmanicus
210,2227034,Orconectes alabamensis
213,2227069,Orconectes bisectus
214,2227056,Orconectes causeyi
215,2227039,Orconectes chickasawae
216,2227022,Orconectes compressus
217,2227045,Orconectes cristavarius
218,2227076,Orconectes durelli
219,2227061,Orconectes erichsonianus
220,2227046,Orconectes etnieri
221,2227014,Orconectes eupunctus
222,2227082,Orconectes harrisonii
223,2227020,Orconectes hathawayi
224,2227066,Orconectes hobbsi
225,2227075,Orconectes hylas
226,2227090,Orconectes illinoiensis
227,2227004,Orconectes immunis
228,2227037,Orconectes indianensis
231,2227059,Orconectes jonesi
232,5789975,Faxonius juvenilis
233,2227092,Orconectes kentuckiensis
234,2227078,Orconectes lancifer
235,2227086,Orconectes leptogonopodus
236,2227000,Orconectes limosus
237,2227029,Orconectes luteus
239,2227070,Orconectes maletae
240,2227002,Orconectes marchandi
241,2227065,Orconectes margorectus
242,2227051,Orconectes meeki
243,2227005,Orconectes mississippiensis
244,2227013,Orconectes nais
245,2227088,Orconectes nana
246,2227071,Orconectes neglectus
247,2227057,Orconectes obscurus
248,2227043,Orconectes ozarkae
249,2227033,Orconectes pagei
250,6283036,Orconectes palmeri
251,5789982,Faxonius pardalotus
252,2227062,Orconectes peruncus
253,2227048,Orconectes placidus
254,2227030,Orconectes propinquus
255,2227003,Orconectes putnami
256,2227083,Orconectes quadruncus
257,5789980,Faxonius quinebaugensis
258,2227068,Orconectes rafinesquei
259,2227028,Orconectes ronaldi
260,2227081,Orconectes rusticus
261,7039998,Orconectes sanbornii
263,2227058,Orconectes sloanii
264,2227044,Orconectes spinosus
265,2227027,Orconectes stannardi
266,5789981,Faxonius theaphionensis
267,2227012,Orconectes tricuspis
268,2227094,Orconectes validus
269,2227064,Orconectes virilis
270,2227063,Orconectes williamsi
277,2224026,Parastacus defossus
279,2224025,Parastacus pilimanus
283,7194602,Procambarus acutus
289,5789996,Procambarus cavernicola
293,2227212,Procambarus dupratzi
296,8879526,Procambarus virginalis
307,5790002,Procambarus machardyi
308,2227256,Procambarus milleri
332,2227268,Procambarus zihuateutlensis
337,5789944,Virilastacus retamali
338,5789946,Virilastacus rucapihuelensis
