"species","RBSU","state","n_observations","Occupancy"
"Aponogeton distachyos",2,"current",1,NA
"Aponogeton distachyos",8,"current",1,NA
"Aponogeton distachyos",19,"baseline",1,1
"Aponogeton distachyos",34,"current",1,NA
"Aponogeton distachyos",37,"current",1,NA
"Crassula helmsii",1,"current",1,NA
"Crassula helmsii",7,"baseline",1,1
"Crassula helmsii",7,"current",2,1
"Crassula helmsii",8,"baseline",1,1
"Crassula helmsii",8,"current",2,1
"Crassula helmsii",9,"baseline",5,3
"Crassula helmsii",9,"current",4,3
"Crassula helmsii",10,"baseline",1,1
"Crassula helmsii",12,"baseline",2,2
"Crassula helmsii",12,"current",6,2
"Crassula helmsii",13,"baseline",18,1
"Crassula helmsii",13,"current",2,1
"Crassula helmsii",16,"baseline",7,4
"Crassula helmsii",16,"current",4,4
"Crassula helmsii",17,"baseline",2,1
"Crassula helmsii",17,"current",7,1
"Crassula helmsii",19,"baseline",4,1
"Crassula helmsii",19,"current",2,1
"Crassula helmsii",21,"baseline",3,2
"Crassula helmsii",21,"current",1,2
"Crassula helmsii",22,"baseline",2,1
"Crassula helmsii",22,"current",1,1
"Crassula helmsii",23,"baseline",12,4
"Crassula helmsii",23,"current",21,4
"Crassula helmsii",24,"current",1,NA
"Crassula helmsii",26,"current",1,NA
"Crassula helmsii",29,"current",1,NA
"Crassula helmsii",33,"baseline",1,1
"Crassula helmsii",33,"current",6,1
"Crassula helmsii",35,"current",1,NA
"Crassula helmsii",37,"current",4,NA
"Crassula helmsii",38,"baseline",1,1
"Crassula helmsii",40,"baseline",4,2
"Crassula helmsii",40,"current",3,2
"Crassula helmsii",46,"baseline",2,1
"Crassula helmsii",49,"current",2,NA
"Crassula helmsii",50,"baseline",4,2
"Crassula helmsii",50,"current",3,2
"Crassula helmsii",51,"baseline",2,1
"Elodea densa",22,"baseline",2,2
"Elodea densa",33,"current",2,NA
"Elodea densa",37,"current",1,NA
"Elodea densa",54,"current",2,NA
"Erythranthe guttata",5,"baseline",1,1
"Erythranthe guttata",11,"baseline",2,2
"Erythranthe guttata",11,"current",1,2
"Erythranthe guttata",15,"baseline",2,2
"Erythranthe guttata",16,"baseline",2,2
"Erythranthe guttata",18,"baseline",2,1
"Erythranthe guttata",19,"current",1,NA
"Erythranthe guttata",21,"current",2,NA
"Erythranthe guttata",23,"baseline",1,1
"Erythranthe guttata",23,"current",1,1
"Erythranthe guttata",33,"baseline",1,1
"Erythranthe guttata",38,"current",2,NA
"Erythranthe guttata",39,"baseline",2,1
"Erythranthe guttata",41,"baseline",5,2
