Key,species
2869202,Cryptocoryne parva de Wit
2869135,Cryptocoryne usteriana Engl.
2714166,Cyperus involucratus Rottb.
3171303,Mazus reptans N.E.Br.
7289955,Microsorum pteropus (Blume) Copel.
9557103,"Schismatoglottis prietoi P.C.Boyce, Medecilo & S.Y.Wong"
3773480,Staurogyne repens (Nees) Kuntze
