scenario,KG_GridCode,Classification
2071-2100_Beck,14,Cfa
2071-2100_Beck,15,Cfb
2001-2025-A1FI,32,Cfb
2026-2050-A1FI,32,Cfb
2051-2075-A1FI,31,Cfa
2051-2075-A1FI,32,Cfb
2076-2100-A1FI,34,Csa
2076-2100-A1FI,31,Cfa
