"species","RBU","n_observations","state"
"Aponogeton distachyos","Dijle - Dyle",4,"current"
"Aponogeton distachyos","Zenne - Senne",3,"current"
"Crassula helmsii","Dijle - Dyle",70,"current"
"Crassula helmsii","Zenne - Senne",30,"current"
"Elodea densa","Mark - Marcq",3,"current"
"Elodea densa","Zenne - Senne",5,"current"
"Erythranthe guttata","Dijle - Dyle",10,"current"
"Erythranthe guttata","Zenne - Senne",48,"current"
"Heracleum mantegazzianum","Dijle - Dyle",677,"current"
"Heracleum mantegazzianum","Mark - Marcq",13,"current"
"Heracleum mantegazzianum","Zenne - Senne",846,"current"
"Houttuynia cordata","Dijle - Dyle",14,"current"
"Houttuynia cordata","Zenne - Senne",3,"current"
"Hydrocotyle ranunculoides","Dijle - Dyle",49,"current"
"Hydrocotyle ranunculoides","Zenne - Senne",25,"current"
"Impatiens glandulifera","Dijle - Dyle",1897,"current"
"Impatiens glandulifera","Mark - Marcq",282,"current"
"Impatiens glandulifera","Zenne - Senne",1434,"current"
"Koenigia polystachya","Dijle - Dyle",4,"current"
"Lagarosiphon major","Dijle - Dyle",1,"current"
"Lagarosiphon major","Mark - Marcq",2,"current"
"Lagarosiphon major","Zenne - Senne",2,"current"
"Ludwigia grandiflora","Dijle - Dyle",61,"current"
"Ludwigia grandiflora","Mark - Marcq",14,"current"
"Ludwigia grandiflora","Zenne - Senne",59,"current"
"Ludwigia peploides","Dijle - Dyle",6,"current"
"Ludwigia peploides","Zenne - Senne",2,"current"
"Lysichiton americanus","Dijle - Dyle",21,"current"
"Lysichiton americanus","Zenne - Senne",25,"current"
"Myriophyllum aquaticum","Dijle - Dyle",79,"current"
"Myriophyllum aquaticum","Mark - Marcq",6,"current"
"Myriophyllum aquaticum","Zenne - Senne",51,"current"
"Petasites japonicus","Dijle - Dyle",4,"current"
"Petasites japonicus","Mark - Marcq",1,"current"
"Petasites japonicus","Zenne - Senne",9,"current"
"Pontederia cordata","Dijle - Dyle",34,"current"
"Pontederia cordata","Mark - Marcq",1,"current"
"Pontederia cordata","Zenne - Senne",36,"current"
"Procambarus clarkii","Dijle - Dyle",101,"current"
"Procambarus clarkii","Zenne - Senne",49,"current"
"Procambarus virginalis","Dijle - Dyle",27,"current"
"Saururus cernuus","Dijle - Dyle",2,"current"
"Saururus cernuus","Zenne - Senne",2,"current"
"Zizania latifolia","Dijle - Dyle",4,"current"
"Zizania latifolia","Zenne - Senne",24,"current"
"Aponogeton distachyos","Dijle - Dyle",2,"baseline"
"Crassula helmsii","Dijle - Dyle",61,"baseline"
"Crassula helmsii","Zenne - Senne",14,"baseline"
"Elodea densa","Dijle - Dyle",2,"baseline"
"Erythranthe guttata","Dijle - Dyle",10,"baseline"
"Erythranthe guttata","Mark - Marcq",1,"baseline"
"Erythranthe guttata","Zenne - Senne",47,"baseline"
"Heracleum mantegazzianum","Dijle - Dyle",578,"baseline"
"Heracleum mantegazzianum","Mark - Marcq",11,"baseline"
"Heracleum mantegazzianum","Zenne - Senne",695,"baseline"
"Houttuynia cordata","Zenne - Senne",4,"baseline"
"Hydrocotyle ranunculoides","Dijle - Dyle",121,"baseline"
"Hydrocotyle ranunculoides","Zenne - Senne",27,"baseline"
"Impatiens glandulifera","Dijle - Dyle",1236,"baseline"
"Impatiens glandulifera","Mark - Marcq",46,"baseline"
"Impatiens glandulifera","Zenne - Senne",718,"baseline"
"Koenigia polystachya","Dijle - Dyle",1,"baseline"
"Koenigia polystachya","Zenne - Senne",1,"baseline"
"Lagarosiphon major","Zenne - Senne",1,"baseline"
"Ludwigia grandiflora","Dijle - Dyle",116,"baseline"
"Ludwigia grandiflora","Mark - Marcq",3,"baseline"
"Ludwigia grandiflora","Zenne - Senne",40,"baseline"
"Lysichiton americanus","Dijle - Dyle",9,"baseline"
"Lysichiton americanus","Zenne - Senne",11,"baseline"
"Myriophyllum aquaticum","Dijle - Dyle",69,"baseline"
"Myriophyllum aquaticum","Mark - Marcq",3,"baseline"
"Myriophyllum aquaticum","Zenne - Senne",45,"baseline"
"Petasites japonicus","Dijle - Dyle",7,"baseline"
"Petasites japonicus","Zenne - Senne",2,"baseline"
"Pontederia cordata","Dijle - Dyle",9,"baseline"
"Pontederia cordata","Zenne - Senne",9,"baseline"
"Procambarus acutus","Zenne - Senne",1,"baseline"
"Procambarus clarkii","Dijle - Dyle",6,"baseline"
"Procambarus clarkii","Zenne - Senne",10,"baseline"
"Zizania latifolia","Dijle - Dyle",1,"baseline"
