acceptedTaxonKey,acceptedScientificName,Classification,n_climate,n_totaal,perc_climate
2227321,Cambarus howardi,Cfa,94,98,0.9591836734693877
2227371,Cambarus angularis,Cfa,32,34,0.9411764705882353
2227352,Cambarus distans,Cfa,38,38,1
2227375,Cambarus robustus,Cfb,117,422,0.2772511848341232
2227405,Cambarus latimanus,Cfa,1193,1193,1
2227136,Procambarus hubbelli,Cfa,29,29,1
2227338,Cambarus striatus,Cfa,562,563,0.9982238010657194
2227208,Procambarus simulans,Cfa,130,152,0.8552631578947368
2227375,Cambarus robustus,Cfa,129,422,0.3056872037914692
2227393,Cambarus coosae,Cfa,79,79,1
2227381,Cambarus bartonii,Dfb,267,1272,0.2099056603773585
8848320,Faxonius neglectus,Cfa,123,199,0.6180904522613065
2227230,Procambarus spiculifer,Cfa,331,332,0.9969879518072289
2227381,Cambarus bartonii,Cfa,612,1272,0.4811320754716981
2227264,Procambarus seminolae,Cfa,58,58,1
2227386,Cambarus parvoculus,Cfa,13,13,1
2227191,Procambarus raneyi,Cfa,50,50,1
9483743,Cambarus appalachiensis,Cfb,24,31,0.7741935483870968
8766234,Faxonius palmeri,Cfa,140,142,0.9859154929577465
2227391,Cambarus longirostris,Cfa,49,110,0.44545454545454544
8949465,Faxonius cristavarius,Cfb,26,71,0.36619718309859156
2227262,Procambarus gracilis,Cfa,17,128,0.1328125
2227167,Procambarus litosternum,Cfa,15,15,1
2227380,Cambarus sphenoides,Cfa,62,62,1
2227403,Cambarus buntingi,Cfa,5,5,1
2227390,Cambarus fasciatus,Cfa,16,16,1
2227186,Procambarus enoplosternum,Cfa,60,60,1
9124482,Faxonius ozarkae,Cfa,41,42,0.9761904761904762
2227371,Cambarus angularis,Cfb,2,34,0.058823529411764705
8930656,Faxonius immunis,Cfa,17,220,0.07727272727272727
2227168,Procambarus toltecae,Am,7,17,0.4117647058823529
2227176,Procambarus hoffmanni,Cfa,17,30,0.5666666666666667
2227437,Cambarellus montezumae,Cwb,185,324,0.5709876543209876
2227198,Procambarus caballeroi,Cfa,14,16,0.875
2227247,Procambarus pilosimanus,Aw,9,15,0.6
2227135,Procambarus mexicanus,Am,4,24,0.16666666666666666
2227223,Procambarus contrerasi,Cfa,8,9,0.8888888888888888
2227247,Procambarus pilosimanus,Cwb,2,15,0.13333333333333333
2227441,Cambarellus chapalanus,Csa,2,17,0.11764705882352941
2227257,Procambarus digueti,Csb,1,76,0.013157894736842105
2227437,Cambarellus montezumae,BSk,24,324,0.07407407407407407
2227176,Procambarus hoffmanni,Af,6,30,0.2
2227172,Procambarus acanthophorus,Am,13,17,0.7647058823529411
2227195,Procambarus erichsoni,Cwb,1,1,1
2227387,Cambarus tenebrosus,Cfa,215,218,0.9862385321100917
2227287,Procambarus mirandai,Cwb,4,36,0.1111111111111111
2226988,Pacifastacus gambelii,Dfc,1,4,0.25
4312658,Austropotamobius pallipes,Cfb,15497,16733,0.9261339867328034
2227325,Cambarus reburrus,Cfb,54,73,0.7397260273972602
2227116,Fallicambarus uhleri,Cfa,77,77,1
2227254,Procambarus pubescens,Cfa,30,30,1
10391449,Lacunicambarus diogenes,Cfa,406,460,0.8826086956521739
2227412,Cambarus setosus,Cfa,4,6,0.6666666666666666
8922890,Faxonius nana,Cfa,10,10,1
8814664,Faxonius luteus,Cfa,21,66,0.3181818181818182
2227149,Procambarus howellae,Cfa,26,26,1
4417558,Cherax destructor,Cfb,768,1869,0.41091492776886035
2227173,Procambarus petersi,Cfa,5,5,1
2227398,Cambarus cumberlandensis,Cfa,14,14,1
8930656,Faxonius immunis,Dfa,66,220,0.3
4417558,Cherax destructor,Cfa,158,1869,0.08453718566078117
4648468,Euastacus simplex,Cfb,21,21,1
4648498,Euastacus spinifer,Cfb,118,221,0.5339366515837104
4648493,Euastacus neohirsutus,Cfb,29,33,0.8787878787878788
4648470,Euastacus yanga,Cfb,96,99,0.9696969696969697
4648498,Euastacus spinifer,Cfa,103,221,0.4660633484162896
